Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,71.43,71.43,70.93,70.93,4400,70.93
2014-12-30,71.78,71.78,70.96,71.10,5100,71.10
2014-12-29,72.66,72.97,72.66,72.88,6800,72.88
2014-12-26,73.36,74.14,73.36,74.00,3200,74.00
2014-12-24,73.49,73.49,72.95,73.35,3100,73.35
2014-12-23,72.27,73.15,72.08,72.95,10800,72.95
2014-12-22,73.06,73.06,72.44,72.56,8600,72.56
2014-12-19,73.31,73.59,73.00,73.59,6800,73.59
2014-12-18,72.70,73.46,72.11,72.12,27100,72.12
2014-12-17,71.00,72.40,71.00,72.40,7600,72.40
2014-12-16,69.05,70.27,69.05,69.16,22200,69.16
2014-12-15,70.82,70.82,68.72,69.08,13300,69.08
2014-12-12,73.23,73.51,72.59,72.60,6600,72.60
2014-12-11,72.85,73.70,72.79,72.79,18100,72.79
2014-12-10,71.77,71.80,70.63,70.90,19400,70.90
2014-12-09,74.25,74.25,72.87,73.71,13500,73.71
2014-12-08,75.35,75.35,74.88,75.07,8600,75.07
2014-12-05,75.58,75.79,75.25,75.69,3400,75.69
2014-12-04,75.16,75.42,74.78,75.34,9800,75.34
2014-12-03,75.35,75.60,75.29,75.60,6500,75.60
2014-12-02,74.66,76.09,74.66,75.82,20500,75.82
2014-12-01,73.75,73.78,73.39,73.67,2600,73.67
2014-11-28,73.07,73.07,72.70,72.70,2600,72.70
2014-11-26,72.48,72.65,72.45,72.58,9300,72.58
2014-11-25,73.19,73.19,72.72,72.72,3500,72.72
2014-11-24,72.45,72.77,72.42,72.57,3900,72.57
2014-11-21,72.67,72.80,72.05,72.26,6000,72.26
2014-11-20,71.90,72.49,71.79,72.15,3200,72.15
2014-11-19,72.74,73.04,72.62,73.04,7500,73.04
2014-11-18,71.70,72.32,71.66,72.32,13700,72.32
2014-11-17,70.30,70.88,70.30,70.80,8600,70.80
2014-11-14,71.28,71.28,71.05,71.16,2200,71.16
2014-11-13,70.69,70.95,70.42,70.81,3800,70.81
2014-11-12,70.65,71.09,70.22,70.93,9100,70.93
2014-11-11,72.28,72.30,71.78,72.09,20100,72.09
2014-11-10,70.35,70.63,70.35,70.63,2300,70.63
2014-11-07,70.75,70.92,70.27,70.45,11700,70.45
2014-11-06,72.64,72.99,72.44,72.99,6100,72.99
2014-11-05,71.84,72.46,71.74,71.99,33600,71.99
2014-11-04,70.30,70.78,70.12,70.77,36100,70.77
2014-11-03,66.39,68.02,66.39,67.80,19000,67.80
2014-10-31,64.55,67.09,64.55,67.09,44900,67.09
2014-10-30,61.10,62.30,61.10,62.20,26600,62.20
2014-10-29,61.67,62.17,61.67,62.00,4300,62.00
2014-10-28,60.92,60.92,60.72,60.88,3100,60.88
2014-10-27,61.10,61.28,60.92,61.23,3700,61.23
2014-10-24,61.88,62.11,61.83,62.09,3700,62.09
2014-10-23,62.50,62.70,62.44,62.44,8900,62.44
2014-10-22,61.85,61.91,61.15,61.15,3300,61.15
2014-10-21,60.05,60.34,60.00,60.30,4400,60.30
2014-10-20,60.50,61.04,60.50,60.91,20100,60.91
2014-10-17,58.40,58.87,57.34,58.60,8200,58.60
2014-10-16,58.68,59.59,58.20,59.16,14500,59.16
2014-10-15,59.17,59.47,57.93,58.76,25100,58.76
2014-10-14,59.29,59.31,58.80,58.80,5600,58.80
2014-10-13,60.10,60.40,59.31,59.31,20100,59.31
2014-10-10,60.77,60.77,60.00,60.11,6000,60.11
2014-10-09,61.15,61.21,60.51,60.65,4700,60.65
2014-10-08,62.09,63.43,62.09,63.43,4400,63.43
2014-10-07,63.57,63.82,63.17,63.18,3300,63.18
2014-10-06,64.47,64.47,64.05,64.20,3800,64.20
2014-10-03,63.00,63.60,63.00,63.60,5900,63.60
2014-10-02,63.00,63.00,62.18,62.68,37100,62.68
2014-10-01,64.65,64.65,63.75,63.90,28100,63.90
2014-09-30,66.05,66.27,66.00,66.04,9200,66.04
2014-09-29,64.96,65.22,64.75,65.21,9200,65.21
2014-09-26,65.12,65.80,65.12,65.75,25600,65.75
2014-09-25,64.45,64.45,63.79,64.00,31300,64.00
2014-09-24,63.01,63.65,63.01,63.57,58200,63.57
2014-09-23,61.83,62.10,61.83,61.95,22000,61.95
2014-09-22,62.14,62.14,62.00,62.09,29300,62.09
2014-09-19,61.80,61.91,61.56,61.80,31100,61.80
2014-09-18,59.56,59.99,59.56,59.99,41600,59.99
2014-09-17,58.99,59.13,58.74,58.88,18700,58.88
2014-09-16,59.04,59.40,59.02,59.36,4800,59.36
2014-09-15,59.46,59.46,58.96,59.16,3600,59.16
2014-09-12,59.26,59.52,59.20,59.31,3700,59.31
2014-09-11,58.00,58.16,57.80,58.08,5500,58.08
