Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.94,8.00,7.85,7.86,4354700,7.86
2014-12-30,8.00,8.03,7.95,7.95,9102400,7.95
2014-12-29,8.07,8.09,8.02,8.04,4197300,8.04
2014-12-26,8.10,8.20,8.09,8.17,3080700,8.17
2014-12-24,8.05,8.14,8.05,8.09,2962100,8.09
2014-12-23,8.01,8.11,8.00,8.08,9369900,8.08
2014-12-22,7.91,7.98,7.90,7.96,7607600,7.96
2014-12-19,7.85,7.98,7.85,7.91,14030600,7.91
2014-12-18,7.95,8.07,7.88,8.04,13472900,8.04
2014-12-17,7.70,7.92,7.70,7.86,17209700,7.86
2014-12-16,7.64,7.88,7.61,7.73,20673900,7.73
2014-12-15,7.91,7.93,7.69,7.74,14770400,7.74
2014-12-12,8.06,8.07,7.86,7.87,14086500,7.87
2014-12-11,8.11,8.13,8.00,8.02,15089700,8.02
2014-12-10,8.20,8.24,8.02,8.06,13409000,8.06
2014-12-09,8.09,8.15,8.04,8.13,9793100,8.13
2014-12-08,8.32,8.37,8.20,8.23,23391400,8.23
2014-12-05,8.17,8.32,8.17,8.29,16942300,8.29
2014-12-04,8.15,8.20,8.08,8.14,8797200,8.14
2014-12-03,8.17,8.24,8.12,8.22,24702200,8.22
2014-12-02,8.34,8.35,8.23,8.29,17332700,8.29
2014-12-01,8.34,8.34,8.26,8.28,10933900,8.28
2014-11-28,8.24,8.31,8.21,8.24,6818900,8.24
2014-11-26,8.22,8.23,8.19,8.19,7638900,8.19
2014-11-25,8.11,8.18,8.11,8.12,15558500,8.12
2014-11-24,8.08,8.18,8.07,8.12,18855400,8.12
2014-11-21,7.99,8.08,7.95,7.97,19199000,7.97
2014-11-20,7.86,7.91,7.77,7.78,7364300,7.78
2014-11-19,7.87,7.88,7.73,7.74,10846000,7.74
2014-11-18,7.89,8.01,7.88,7.93,27581300,7.93
2014-11-17,7.68,7.71,7.63,7.67,23331900,7.67
2014-11-14,7.95,7.98,7.76,7.86,38721600,7.86
2014-11-13,8.18,8.27,8.14,8.26,15176400,8.26
2014-11-12,8.06,8.11,8.02,8.05,8706800,8.05
2014-11-11,8.12,8.17,8.10,8.17,5477500,8.17
2014-11-10,8.05,8.13,8.01,8.12,7287100,8.12
2014-11-07,8.00,8.07,7.92,8.01,13495100,8.01
2014-11-06,8.18,8.24,8.13,8.13,8361400,8.13
2014-11-05,8.23,8.24,8.16,8.17,8821200,8.17
2014-11-04,8.22,8.23,8.08,8.12,14700700,8.12
2014-11-03,8.38,8.44,8.35,8.36,20727700,8.36
2014-10-31,8.32,8.33,8.25,8.27,32661800,8.27
2014-10-30,8.26,8.29,8.23,8.23,22933700,8.23
2014-10-29,8.34,8.35,8.20,8.22,23607700,8.22
2014-10-28,8.39,8.45,8.36,8.43,32892700,8.43
2014-10-27,8.29,8.39,8.20,8.37,17195400,8.37
2014-10-24,8.44,8.44,8.26,8.34,14947100,8.34
2014-10-23,8.35,8.50,8.28,8.40,75787400,8.40
2014-10-22,8.21,8.23,7.90,7.93,42934400,7.93
2014-10-21,7.98,8.19,7.97,8.17,12318800,8.17
2014-10-20,7.83,7.91,7.81,7.89,9410100,7.89
2014-10-17,7.91,8.00,7.89,7.94,10423400,7.94
2014-10-16,7.60,7.88,7.58,7.80,20798400,7.80
2014-10-15,7.72,7.89,7.61,7.77,30148400,7.77
2014-10-14,8.01,8.06,7.87,7.96,25358000,7.96
2014-10-13,8.09,8.10,7.90,7.90,15489800,7.90
2014-10-10,8.09,8.10,7.89,7.90,17268600,7.90
2014-10-09,8.27,8.31,8.04,8.05,16608900,8.05
2014-10-08,8.11,8.29,8.05,8.27,16739500,8.27
2014-10-07,8.33,8.36,8.16,8.17,15568400,8.17
2014-10-06,8.56,8.58,8.45,8.51,19087000,8.51
2014-10-03,8.18,8.32,8.15,8.29,8948700,8.29
2014-10-02,8.32,8.37,8.10,8.29,18793200,8.29
2014-10-01,8.33,8.33,8.17,8.20,15726600,8.20
2014-09-30,8.49,8.52,8.42,8.46,8485100,8.46
2014-09-29,8.50,8.57,8.47,8.55,8171400,8.55
2014-09-26,8.57,8.61,8.51,8.61,10697300,8.61
2014-09-25,8.63,8.66,8.51,8.56,13306600,8.56
2014-09-24,8.54,8.67,8.51,8.66,10520800,8.66
2014-09-23,8.51,8.58,8.46,8.51,12277500,8.51
2014-09-22,8.66,8.68,8.55,8.61,21366000,8.61
2014-09-19,8.71,8.73,8.57,8.64,33471700,8.64
2014-09-18,8.59,8.68,8.55,8.63,17273800,8.63
2014-09-17,8.57,8.61,8.50,8.54,21019800,8.54
2014-09-16,8.49,8.59,8.43,8.57,12172800,8.57
2014-09-15,8.53,8.63,8.52,8.56,41539500,8.56
2014-09-12,8.45,8.46,8.35,8.37,10751900,8.37
2014-09-11,8.38,8.43,8.35,8.43,8397000,8.43
2014-09-10,8.33,8.37,8.27,8.36,11574900,8.36
2014-09-09,8.38,8.38,8.24,8.27,17633200,8.27
2014-09-08,8.44,8.52,8.41,8.49,25747600,8.49
2014-09-05,8.35,8.37,8.27,8.32,12355400,8.32
2014-09-04,8.40,8.47,8.29,8.31,17794600,8.31
2014-09-03,8.48,8.49,8.36,8.39,18270600,8.39
2014-09-02,8.30,8.37,8.28,8.34,11996600,8.34
2014-08-29,8.36,8.40,8.23,8.37,17134300,8.37
2014-08-28,7.99,8.16,7.97,8.13,13815200,8.13
2014-08-27,8.11,8.18,8.10,8.14,6594500,8.14
2014-08-26,8.20,8.26,8.19,8.22,15103300,8.22
2014-08-25,8.22,8.27,8.20,8.26,25538900,8.26
2014-08-22,8.19,8.22,8.14,8.18,13364900,8.18
2014-08-21,8.26,8.32,8.21,8.25,27013200,8.25
2014-08-20,8.10,8.25,8.09,8.13,43178100,8.13
2014-08-19,7.87,8.02,7.85,8.02,54482400,8.02
2014-08-18,7.80,7.82,7.78,7.82,12791800,7.82
2014-08-15,7.80,7.84,7.71,7.75,12936800,7.75
2014-08-14,7.78,7.81,7.76,7.80,20372500,7.80
2014-08-13,7.72,7.74,7.69,7.74,4849900,7.74
2014-08-12,7.73,7.75,7.65,7.72,8173100,7.72
2014-08-11,7.75,7.77,7.69,7.72,18212500,7.72
2014-08-08,7.66,7.68,7.60,7.65,10790100,7.65
2014-08-07,7.80,7.81,7.63,7.69,19841300,7.69
2014-08-06,7.75,7.80,7.71,7.74,13811600,7.74
2014-08-05,7.99,8.02,7.78,7.83,37857800,7.83
2014-08-04,7.88,7.93,7.80,7.85,29640500,7.85
2014-08-01,7.92,7.94,7.75,7.80,19051000,7.80
2014-07-31,7.99,8.01,7.85,7.93,25109000,7.93
2014-07-30,8.14,8.23,8.11,8.14,9526400,8.14
2014-07-29,8.19,8.23,8.13,8.18,20177900,8.18
2014-07-28,8.21,8.23,8.10,8.19,15782400,8.19
2014-07-25,8.21,8.26,8.16,8.24,15948100,8.24
2014-07-24,8.28,8.35,8.13,8.32,63892600,8.32
2014-07-23,7.66,7.71,7.63,7.68,14903500,7.68
2014-07-22,7.65,7.76,7.62,7.72,19906400,7.72
2014-07-21,7.64,7.68,7.59,7.63,16708200,7.63
2014-07-18,7.61,7.63,7.53,7.63,25264900,7.63
2014-07-17,7.51,7.52,7.36,7.38,9598500,7.38
2014-07-16,7.50,7.53,7.46,7.51,7397300,7.51
2014-07-15,7.47,7.48,7.37,7.44,9355400,7.44
2014-07-14,7.52,7.55,7.48,7.50,6108300,7.50
2014-07-11,7.48,7.53,7.42,7.47,8127600,7.47
2014-07-10,7.43,7.60,7.41,7.54,12751300,7.54
2014-07-09,7.43,7.54,7.41,7.54,11232900,7.54
2014-07-08,7.43,7.46,7.30,7.40,22043900,7.40
2014-07-07,7.60,7.65,7.58,7.62,7916400,7.62
2014-07-03,7.73,7.78,7.66,7.73,6397300,7.73
2014-07-02,7.65,7.67,7.60,7.61,7665200,7.61
2014-07-01,7.64,7.68,7.60,7.61,5739100,7.61
2014-06-30,7.60,7.63,7.56,7.56,7340100,7.56
2014-06-27,7.61,7.66,7.56,7.61,11745100,7.61
2014-06-26,7.69,7.70,7.60,7.68,7921600,7.68
2014-06-25,7.64,7.74,7.63,7.70,13864800,7.70
2014-06-24,7.77,7.80,7.58,7.59,18741200,7.59
2014-06-23,7.90,7.90,7.84,7.89,10361400,7.89
2014-06-20,7.79,7.82,7.72,7.75,9381700,7.75
2014-06-19,7.87,7.92,7.77,7.81,21876900,7.81
2014-06-18,8.13,8.35,8.10,8.33,33532600,7.82
2014-06-17,7.95,8.08,7.93,8.04,15636900,7.55
2014-06-16,7.97,8.01,7.95,7.98,10858900,7.49
2014-06-13,8.02,8.06,7.98,8.04,10731900,7.55
2014-06-12,8.06,8.15,7.99,8.04,21604500,7.55
2014-06-11,7.99,8.11,7.97,8.05,14692900,7.56
2014-06-10,7.94,8.07,7.93,8.06,19556900,7.57
2014-06-09,7.86,7.92,7.80,7.90,10998600,7.42
