Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,20.71,20.71,20.47,20.47,846200,20.47
2014-12-30,20.60,20.61,20.53,20.58,1546200,20.58
2014-12-29,21.21,21.27,21.10,21.17,1107500,21.17
2014-12-26,21.38,21.38,21.21,21.27,1092300,21.27
2014-12-24,21.23,21.40,21.22,21.32,1357400,21.32
2014-12-23,20.88,20.99,20.77,20.86,1800300,20.86
2014-12-22,20.80,20.89,20.70,20.78,1291900,20.78
2014-12-19,20.67,20.80,20.53,20.58,1547200,20.58
2014-12-18,21.13,21.26,21.04,21.14,2623200,21.14
2014-12-17,20.14,20.51,20.13,20.39,2236900,20.39
2014-12-16,19.78,20.01,19.71,19.72,2331500,19.72
2014-12-15,19.94,20.00,19.71,19.72,4273700,19.72
2014-12-12,20.50,20.56,20.33,20.33,2398300,20.33
2014-12-11,20.87,21.08,20.71,20.74,1912400,20.74
2014-12-10,21.02,21.06,20.76,20.79,1841200,20.79
2014-12-09,20.58,20.73,20.46,20.70,2987200,20.70
2014-12-08,21.41,21.47,21.13,21.15,2559600,21.15
2014-12-05,22.21,22.30,22.11,22.16,1841700,22.16
2014-12-04,22.04,22.15,21.96,22.12,2241400,22.12
2014-12-03,21.87,22.07,21.74,21.95,3267500,21.95
2014-12-02,22.07,22.17,21.94,21.96,2609600,21.96
2014-12-01,22.25,22.32,22.11,22.15,4415000,22.15
2014-11-28,21.90,22.05,21.87,21.99,1721100,21.99
2014-11-26,21.60,21.70,21.57,21.69,1829700,21.69
2014-11-25,21.89,21.99,21.79,21.93,2829900,21.93
2014-11-24,21.22,21.73,21.22,21.63,5601000,21.63
2014-11-21,21.11,21.40,20.90,21.24,2882800,21.24
2014-11-20,20.37,20.55,20.29,20.48,1990300,20.48
2014-11-19,20.90,20.90,20.75,20.81,2210200,20.81
2014-11-18,21.12,21.30,21.08,21.26,3329000,21.26
2014-11-17,20.19,20.48,20.19,20.26,1946300,20.26
2014-11-14,20.61,20.69,20.54,20.64,1174600,20.64
2014-11-13,20.34,20.51,20.30,20.41,2159200,20.41
2014-11-12,20.43,20.68,20.43,20.63,2726100,20.63
2014-11-11,20.50,20.71,20.44,20.71,3112500,20.71
2014-11-10,20.45,20.60,20.38,20.50,2787500,20.50
2014-11-07,19.61,19.66,19.52,19.62,2422400,19.62
2014-11-06,19.61,19.76,19.52,19.70,2686900,19.70
2014-11-05,20.25,20.38,20.14,20.18,2349300,20.18
2014-11-04,20.12,20.29,19.93,20.01,5106100,20.01
2014-11-03,19.64,20.17,19.63,20.16,6253800,20.16
2014-10-31,19.10,19.90,19.10,19.82,7375700,19.82
2014-10-30,18.54,18.86,18.52,18.72,4885500,18.72
2014-10-29,18.47,18.52,18.23,18.36,2978900,18.36
2014-10-28,17.59,17.74,17.50,17.72,1364100,17.72
2014-10-27,17.43,17.50,17.37,17.48,2122200,17.48
2014-10-24,17.66,17.72,17.54,17.72,1419500,17.72
2014-10-23,17.79,17.98,17.74,17.87,1744800,17.87
2014-10-22,17.78,17.86,17.61,17.63,2438300,17.63
2014-10-21,17.37,17.48,17.30,17.43,5626200,17.43
2014-10-20,17.37,17.53,17.35,17.53,1325800,17.53
2014-10-17,17.15,17.28,17.11,17.24,1706300,17.24
2014-10-16,16.57,17.02,16.57,16.89,1940500,16.89
2014-10-15,17.08,17.10,16.66,17.04,4471500,17.04
2014-10-14,17.05,17.19,16.97,17.05,1945600,17.05
2014-10-13,17.14,17.25,16.96,16.98,1899000,16.98
2014-10-10,17.33,17.45,17.11,17.12,2165100,17.12
2014-10-09,17.39,17.47,17.15,17.18,2735200,17.18
2014-10-08,17.59,17.80,17.42,17.79,2859700,17.79
2014-10-07,17.63,17.63,17.36,17.37,1604400,17.37
2014-10-06,17.66,17.79,17.64,17.76,1666600,17.76
2014-10-03,17.52,17.69,17.41,17.61,1965000,17.61
2014-10-02,17.48,17.52,17.22,17.46,2310500,17.46
2014-10-01,17.89,17.93,17.70,17.77,2204100,17.77
2014-09-30,18.05,18.11,17.97,18.04,3078000,18.04
2014-09-29,17.70,17.81,17.69,17.78,4041800,17.78
