Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.96,13.04,12.95,12.95,82300,12.95
2014-12-30,13.18,13.18,12.98,13.01,114100,13.01
2014-12-29,13.05,13.15,12.97,13.09,95100,13.09
2014-12-26,13.26,13.40,13.26,13.33,27300,13.33
2014-12-24,13.35,13.35,13.25,13.31,7400,13.31
2014-12-23,13.31,13.31,13.20,13.24,22600,13.24
2014-12-22,13.22,13.29,13.17,13.20,30700,13.20
2014-12-19,13.24,13.30,13.24,13.27,47400,13.27
2014-12-18,13.40,13.50,13.34,13.47,29700,13.47
2014-12-17,13.29,13.41,13.26,13.26,54900,13.26
2014-12-16,13.38,13.40,13.26,13.30,65300,13.30
2014-12-15,13.69,13.71,13.52,13.57,42500,13.57
2014-12-12,13.88,13.89,13.75,13.75,28400,13.75
2014-12-11,14.12,14.12,14.02,14.02,21300,14.02
2014-12-10,14.12,14.28,14.05,14.14,19000,14.14
2014-12-09,14.14,14.14,13.98,14.03,40300,14.03
2014-12-08,14.13,14.35,14.13,14.17,35900,14.17
2014-12-05,14.57,14.64,14.30,14.41,350100,14.41
2014-12-04,14.66,14.66,14.50,14.55,27200,14.55
2014-12-03,14.65,14.78,14.65,14.74,38900,14.74
2014-12-02,14.50,14.57,14.47,14.54,22000,14.54
2014-12-01,14.78,14.87,14.67,14.82,43400,14.82
2014-11-28,14.50,14.54,14.42,14.50,51700,14.50
2014-11-26,14.48,14.55,14.35,14.45,204600,14.45
2014-11-25,13.93,14.00,13.93,13.98,37100,13.98
2014-11-24,13.80,13.82,13.76,13.79,34800,13.79
2014-11-21,13.83,13.85,13.76,13.80,22600,13.80
2014-11-20,13.57,13.67,13.57,13.62,10600,13.62
2014-11-19,13.76,13.76,13.63,13.63,32500,13.63
2014-11-18,13.80,13.90,13.80,13.90,25700,13.90
2014-11-17,13.59,13.60,13.52,13.58,7800,13.58
2014-11-14,13.82,13.82,13.70,13.77,15300,13.77
2014-11-13,13.65,13.65,13.50,13.51,62200,13.51
2014-11-12,13.57,13.61,13.55,13.55,23400,13.55
2014-11-11,13.45,13.45,13.34,13.40,21900,13.40
2014-11-10,13.22,13.32,13.08,13.15,20400,13.15
2014-11-07,13.22,13.22,13.07,13.13,31500,13.13
2014-11-06,13.20,13.32,13.19,13.27,10300,13.27
2014-11-05,13.66,13.66,13.44,13.48,11400,13.48
2014-11-04,13.46,13.49,13.36,13.47,17600,13.47
2014-11-03,13.25,13.79,13.24,13.79,18600,13.79
2014-10-31,13.53,13.68,13.33,13.67,47800,13.67
2014-10-30,12.94,13.00,12.86,12.94,67500,12.94
2014-10-29,13.35,13.85,13.35,13.80,39900,13.80
2014-10-28,12.97,12.97,12.81,12.90,31600,12.90
2014-10-27,12.94,12.97,12.78,12.91,23300,12.91
2014-10-24,12.67,12.73,12.63,12.72,39200,12.72
2014-10-23,13.01,13.05,12.99,13.02,26700,13.02
2014-10-22,13.00,13.04,12.98,13.01,126500,13.01
2014-10-21,12.87,12.95,12.87,12.95,25500,12.95
2014-10-20,12.65,12.83,12.65,12.78,24800,12.78
2014-10-17,12.62,12.75,12.60,12.67,33500,12.67
2014-10-16,12.62,12.66,12.43,12.59,40700,12.59
2014-10-15,12.78,12.81,12.62,12.78,32600,12.78
2014-10-14,12.88,12.96,12.82,12.83,22400,12.83
2014-10-13,12.81,12.83,12.69,12.69,47300,12.69
2014-10-10,12.94,12.94,12.80,12.80,13400,12.80
2014-10-09,13.08,13.10,12.95,12.96,18100,12.96
2014-10-08,13.00,13.24,12.99,13.24,17400,13.24
2014-10-07,13.30,13.33,13.11,13.11,16500,13.11
2014-10-06,13.18,13.30,13.18,13.29,12500,13.29
2014-10-03,13.13,13.13,13.07,13.11,12900,13.11
2014-10-02,13.18,13.19,13.08,13.13,30100,13.13
2014-10-01,13.39,13.40,13.29,13.33,27900,13.33
2014-09-30,13.59,13.59,13.54,13.59,34200,13.59
2014-09-29,13.63,13.66,13.53,13.60,33800,13.60
2014-09-26,13.76,13.82,13.75,13.80,32700,13.80
2014-09-25,13.95,13.95,13.74,13.75,10200,13.75
2014-09-24,13.75,13.89,13.72,13.79,29100,13.79
2014-09-23,14.03,14.07,13.97,13.97,73700,13.97
2014-09-22,13.90,14.09,13.90,14.09,39900,14.09
2014-09-19,13.90,13.94,13.88,13.93,38900,13.93
2014-09-18,13.85,14.09,13.85,14.07,10400,14.07
2014-09-17,13.92,14.00,13.89,13.91,12800,13.91
2014-09-16,13.96,14.16,13.96,14.16,21500,14.16
2014-09-15,13.82,13.82,13.75,13.76,10400,13.76
2014-09-12,13.79,13.84,13.75,13.78,63800,13.78
2014-09-11,14.00,14.00,13.92,13.95,7600,13.95
2014-09-10,13.93,14.01,13.93,14.01,36100,14.01
2014-09-09,13.77,13.78,13.70,13.73,16000,13.73
2014-09-08,13.96,14.03,13.82,13.90,46900,13.90
2014-09-05,14.15,14.18,14.15,14.16,10700,14.16
2014-09-04,14.19,14.25,14.12,14.15,53700,14.15
2014-09-03,14.17,14.21,14.12,14.17,34900,14.17
2014-09-02,14.45,14.45,14.30,14.30,32400,14.30
2014-08-29,13.90,13.96,13.85,13.89,107300,13.89
2014-08-28,13.74,13.75,13.70,13.71,18100,13.71
2014-08-27,13.90,13.90,13.83,13.85,6500,13.85
2014-08-26,13.96,13.96,13.85,13.89,22700,13.89
2014-08-25,13.96,14.06,13.96,14.03,9500,14.03
2014-08-22,14.00,14.00,13.90,13.93,13700,13.93
2014-08-21,13.86,13.99,13.86,13.99,16400,13.99
2014-08-20,14.00,14.05,13.92,14.01,15400,14.01
2014-08-19,14.26,14.26,14.18,14.18,14000,14.18
2014-08-18,14.39,14.39,14.28,14.35,50600,14.35
2014-08-15,13.74,13.78,13.72,13.78,35100,13.78
2014-08-14,13.54,13.55,13.40,13.47,14800,13.47
2014-08-13,13.36,13.42,13.36,13.38,16200,13.38
2014-08-12,13.49,13.49,13.30,13.31,11400,13.31
2014-08-11,13.37,13.49,13.36,13.44,20200,13.44
2014-08-08,13.36,13.38,13.25,13.35,37200,13.35
2014-08-07,13.41,13.50,13.40,13.40,20700,13.40
2014-08-06,13.45,13.52,13.36,13.46,34600,13.46
2014-08-05,13.65,13.65,13.43,13.46,80400,13.46
2014-08-04,13.72,13.72,13.60,13.68,10600,13.68
2014-08-01,13.77,13.84,13.74,13.75,46400,13.75
2014-07-31,13.97,13.98,13.80,13.83,85300,13.83
2014-07-30,14.38,14.54,14.23,14.35,84400,14.35
2014-07-29,15.21,15.23,15.11,15.11,17000,15.11
2014-07-28,15.20,15.31,15.20,15.21,15900,15.21
2014-07-25,15.59,15.63,15.56,15.59,5700,15.59
2014-07-24,15.55,15.55,15.50,15.52,21600,15.52
2014-07-23,15.98,15.98,15.70,15.77,770200,15.77
2014-07-22,15.86,15.92,15.84,15.90,35700,15.90
2014-07-21,15.48,15.48,15.35,15.45,44700,15.45
2014-07-18,15.51,15.57,15.47,15.56,81400,15.56
2014-07-17,15.52,15.52,15.36,15.37,26700,15.37
2014-07-16,15.62,15.62,15.47,15.51,15600,15.51
2014-07-15,15.48,15.48,15.32,15.40,118700,15.40
2014-07-14,15.40,15.44,15.28,15.37,13300,15.37
2014-07-11,15.15,15.15,15.00,15.07,17600,15.07
2014-07-10,15.36,15.36,15.11,15.21,21600,15.21
2014-07-09,15.53,15.62,15.53,15.59,6800,15.59
2014-07-08,15.62,15.62,15.44,15.51,39400,15.51
2014-07-07,15.68,15.72,15.66,15.72,13800,15.72
2014-07-03,15.59,15.68,15.59,15.62,51600,15.62
2014-07-02,15.43,15.43,15.30,15.34,58100,15.34
2014-07-01,15.06,15.16,15.06,15.14,20500,15.14
2014-06-30,14.84,15.00,14.82,14.95,40200,14.95
2014-06-27,14.80,14.85,14.70,14.79,74500,14.79
2014-06-26,14.93,14.98,14.84,14.89,30200,14.89
2014-06-25,14.95,15.02,14.95,14.99,35100,14.99
2014-06-24,15.16,15.30,15.11,15.12,110900,15.12
2014-06-23,15.17,15.20,15.06,15.08,17000,15.08
2014-06-20,15.29,15.35,15.29,15.35,42300,15.35
2014-06-19,15.27,15.28,15.18,15.22,6400,15.22
2014-06-18,14.98,15.22,14.98,15.20,66000,15.20
2014-06-17,14.84,14.84,14.74,14.81,25200,14.81
2014-06-16,14.62,14.73,14.55,14.67,65600,14.67
2014-06-13,14.28,14.29,14.20,14.26,27500,14.26
2014-06-12,14.11,14.11,13.94,13.94,151300,13.94
2014-06-11,14.33,14.33,14.01,14.01,984200,14.01
2014-06-10,14.55,14.60,14.38,14.45,62000,14.45
2014-06-09,14.52,14.58,14.51,14.55,42900,14.55
2014-06-06,14.45,14.46,14.31,14.36,9300,14.36
2014-06-05,14.54,14.54,14.35,14.42,851400,14.42
2014-06-04,14.50,14.65,14.49,14.59,12900,14.59
2014-06-03,14.48,14.56,14.48,14.54,11900,14.54
2014-06-02,14.54,14.59,14.47,14.52,34200,14.52
2014-05-30,14.62,14.62,14.46,14.56,8300,14.56
2014-05-29,14.42,14.57,14.42,14.54,60100,14.54
2014-05-28,14.24,14.29,14.21,14.27,489000,14.27
2014-05-27,14.30,14.36,14.29,14.35,454100,14.35
2014-05-23,14.09,14.26,14.09,14.22,23100,14.22
2014-05-22,14.13,14.13,14.05,14.08,72200,14.08
2014-05-21,13.81,13.97,13.81,13.90,33400,13.90
2014-05-20,13.77,13.86,13.77,13.84,48800,13.84
2014-05-19,13.61,13.61,13.45,13.60,12700,13.60
2014-05-16,13.45,13.53,13.45,13.45,10900,13.45
2014-05-15,13.65,13.65,13.48,13.50,21000,13.50
2014-05-14,13.48,13.72,13.44,13.45,30400,13.45
2014-05-13,13.46,13.48,13.43,13.44,40400,13.44
2014-05-12,13.07,13.19,13.07,13.18,17100,13.18
2014-05-09,13.15,13.29,13.06,13.14,767300,13.14
2014-05-08,12.96,13.09,12.90,12.93,129200,12.93
2014-05-07,13.18,13.25,12.94,13.18,30400,13.18
2014-05-06,13.58,13.58,13.39,13.40,26200,13.40
2014-05-05,13.39,13.49,13.39,13.45,17800,13.45
2014-05-02,13.33,13.44,13.33,13.40,14300,13.40
2014-05-01,13.23,13.32,13.19,13.30,399400,13.30
2014-04-30,13.08,13.15,13.07,13.08,16100,13.08
2014-04-29,13.08,13.15,13.07,13.08,18000,13.08
2014-04-28,13.09,13.09,13.00,13.07,32200,13.07
2014-04-25,13.10,13.11,12.99,13.02,31900,13.02
2014-04-24,13.45,13.45,13.32,13.37,22500,13.37
2014-04-23,13.55,13.55,13.43,13.48,27900,13.48
2014-04-22,13.53,13.55,13.42,13.48,39300,13.48
2014-04-21,13.72,13.72,13.62,13.63,6200,13.63
2014-04-17,13.69,13.69,13.57,13.64,12200,13.64
2014-04-16,13.40,13.42,13.36,13.41,42000,13.41
2014-04-15,13.35,13.35,13.20,13.32,522700,13.32
2014-04-14,13.60,13.70,13.44,13.50,293500,13.50
2014-04-11,13.58,13.68,13.49,13.52,506800,13.52
2014-04-10,13.86,13.95,13.77,13.82,639900,13.82
2014-04-09,14.02,14.02,13.90,13.98,13900,13.98
2014-04-08,13.96,14.09,13.96,14.04,36700,14.04
2014-04-07,14.25,14.35,14.25,14.28,15600,14.28
2014-04-04,14.45,14.45,14.22,14.25,28800,14.25
2014-04-03,14.49,14.50,14.36,14.39,41600,14.39
2014-04-02,14.66,14.66,14.55,14.61,26400,14.61
2014-04-01,14.69,14.77,14.67,14.72,26300,14.72
2014-03-31,14.85,15.02,14.85,14.89,46600,14.89
2014-03-28,14.58,14.69,14.58,14.64,20500,14.64
2014-03-27,14.38,14.39,14.32,14.37,214500,14.37
2014-03-26,14.55,14.71,14.49,14.49,130400,14.49
2014-03-25,14.25,14.42,14.25,14.33,93500,14.33
2014-03-24,14.77,14.84,14.68,14.84,33500,14.84
2014-03-21,14.25,14.31,14.12,14.12,19900,14.12
2014-03-20,14.24,14.24,14.15,14.23,14500,14.23
2014-03-19,14.45,14.45,14.35,14.38,47900,14.38
2014-03-18,14.46,14.50,14.42,14.47,21900,14.47
2014-03-17,14.70,14.87,14.65,14.70,42700,14.70
2014-03-14,14.52,14.65,14.50,14.64,25600,14.64
2014-03-13,14.87,15.00,14.84,14.85,737100,14.85
2014-03-12,14.66,14.92,14.66,14.82,13100,14.82
2014-03-11,14.84,14.91,14.80,14.87,434200,14.87
2014-03-10,15.05,15.05,14.85,14.87,171200,14.87
2014-03-07,15.23,15.26,15.23,15.23,20300,15.23
2014-03-06,15.41,15.45,15.30,15.30,151300,15.30
2014-03-05,15.45,15.45,15.28,15.28,7900,15.28
2014-03-04,15.52,15.63,15.48,15.56,178200,15.56
2014-03-03,15.01,15.21,15.01,15.20,268400,15.20
2014-02-28,15.43,15.45,15.39,15.40,23200,15.40
2014-02-27,15.10,15.30,15.10,15.30,34100,15.30
2014-02-26,15.78,15.85,15.76,15.76,110200,15.76
2014-02-25,15.48,15.48,15.30,15.39,7700,15.39
