Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,19307.10,19583.80,19307.10,19454.10,10400,19454.10
2014-12-31,19590.00,19722.00,19300.00,19459.60,20400,19459.60
2014-12-30,19300.00,19815.00,19205.90,19664.30,44700,19664.30
2014-12-29,18600.00,19384.00,18599.80,19319.30,46100,19319.30
2014-12-26,18400.00,18650.00,18400.00,18537.90,13000,18537.90
2014-12-25,18421.80,18421.80,18421.80,18421.80,000,18421.80
2014-12-24,18450.10,18790.00,18305.00,18421.80,42200,18421.80
2014-12-23,18590.10,18700.00,18450.10,18538.20,27800,18538.20
2014-12-22,18505.00,18999.00,18505.00,18624.40,30100,18624.40
2014-12-19,19195.00,19230.00,18550.10,18668.60,30200,18668.60
2014-12-18,18560.00,19200.00,18525.00,19046.20,30300,19046.20
2014-12-17,18784.60,19000.00,18213.20,18611.70,27700,18611.70
2014-12-16,19276.60,19441.90,18799.90,18974.20,25300,18974.20
2014-12-15,19404.50,19661.90,19322.60,19471.30,22900,19471.30
2014-12-12,19700.00,19935.20,19469.90,19600.50,12600,19600.50
2014-12-11,19699.00,19971.00,19218.20,19694.30,22900,19694.30
2014-12-10,20025.00,20198.80,19435.60,19681.20,21600,19681.20
2014-12-09,20280.00,20427.20,19511.00,20022.60,33300,20022.60
2014-12-08,20575.00,20950.00,20077.20,20191.10,27200,20191.10
2014-12-05,20699.00,21000.00,20432.90,20544.20,43000,20544.20
2014-12-04,19998.00,21150.00,19894.00,20522.30,98300,20522.30
2014-12-03,18544.00,19895.00,18544.00,19784.80,38100,19784.80
2014-12-02,18825.00,18890.00,18561.10,18600.80,14200,18600.80
2014-12-01,18999.00,19234.00,18632.00,18743.80,17300,18743.80
2014-11-28,18025.00,19136.20,18025.00,18919.80,53700,18919.80
2014-11-27,17989.00,18133.70,17800.00,17973.80,31800,17973.80
2014-11-26,17730.00,18140.00,17710.00,17961.20,13300,17961.20
2014-11-25,18355.00,18355.00,17700.00,17759.90,12100,17759.90
2014-11-24,18750.00,18790.00,18274.00,18355.20,14500,18355.20
2014-11-21,19000.00,19405.00,18178.00,18368.10,27600,18368.10
2014-11-20,18898.00,19570.00,18150.00,18912.80,60500,18912.80
2014-11-19,17899.00,19200.00,17899.00,18073.00,57600,18073.00
2014-11-18,17100.00,18100.00,17100.00,17732.20,24200,17732.20
2014-11-17,16700.00,17176.00,16628.40,17033.20,11200,17033.20
2014-11-14,16454.90,17287.10,16204.30,16563.10,26700,16563.10
2014-11-13,16250.00,16495.00,16050.40,16409.40,7900,16409.40
2014-11-12,15690.00,16445.90,15616.70,16009.00,21300,16009.00
2014-11-11,15600.00,15870.20,15301.20,15556.60,27500,15556.60
2014-11-10,15425.00,15425.00,15199.70,15390.70,6100,15390.70
2014-11-07,15200.00,15337.90,15140.00,15193.20,7200,15193.20
2014-11-06,15297.50,15297.50,15297.50,15297.50,000,15297.50
2014-11-05,15501.40,15501.40,15150.00,15297.50,6900,15297.50
2014-11-04,15516.50,15516.50,15516.50,15516.50,000,15516.50
2014-11-03,15045.00,15640.20,14905.70,15516.50,9500,15516.50
2014-10-31,14850.00,15100.00,14840.00,14900.80,5200,14900.80
2014-10-30,15000.00,15083.30,14852.20,14909.30,3000,14909.30
2014-10-29,15035.00,15070.00,14811.00,14995.80,3100,14995.80
2014-10-28,14901.70,15148.00,14901.70,15035.70,2400,15035.70
2014-10-27,15009.00,15140.00,14881.00,15004.30,3300,15004.30
2014-10-24,14900.00,14900.00,14900.00,14900.00,000,14900.00
2014-10-23,14900.00,14900.00,14900.00,14900.00,000,14900.00
2014-10-22,14450.00,15200.00,14450.00,14900.00,9600,14900.00
2014-10-21,14355.00,14700.00,14306.30,14624.20,5400,14624.20
2014-10-20,14400.00,14600.00,14310.00,14518.70,2000,14518.70
2014-10-17,14311.00,14475.00,14255.00,14308.00,2100,14308.00
2014-10-16,14640.00,14640.00,14135.20,14361.00,3900,14361.00
2014-10-15,14597.50,14597.50,14597.50,14597.50,000,14597.50
2014-10-14,14610.00,14665.50,14503.50,14597.50,20600,14597.50
2014-10-13,14725.00,14763.30,14494.00,14570.70,6200,14570.70
2014-10-10,14787.40,14850.00,14670.00,14715.60,2700,14715.60
2014-10-09,14700.10,14875.00,14700.10,14790.30,3400,14790.30
2014-10-08,14836.20,14836.20,14675.00,14703.90,3500,14703.90
2014-10-07,14700.00,14909.00,14655.00,14706.20,2100,14706.20
2014-10-06,14802.50,14802.50,14802.50,14802.50,000,14802.50
2014-10-03,14802.50,14802.50,14802.50,14802.50,000,14802.50
2014-10-02,14802.50,14802.50,14802.50,14802.50,000,14802.50
2014-10-01,15025.00,15050.00,14760.00,14802.50,2700,14802.50
2014-09-30,14850.00,15150.00,14718.00,15014.80,23300,15014.80
2014-09-29,14775.00,14850.00,14750.00,14835.00,4500,14835.00
2014-09-26,14625.00,14799.70,14490.00,14772.00,5500,14772.00
2014-09-25,14815.60,14815.60,14501.00,14577.80,11600,14577.80
2014-09-24,15000.00,15000.20,14620.00,14673.50,8400,14673.50
2014-09-23,15090.00,15141.00,14883.20,14962.10,6100,14962.10
2014-09-22,14650.00,15051.10,14650.00,14989.80,17700,14989.80
2014-09-19,14900.00,15049.00,14774.50,14827.00,5100,14827.00
2014-09-18,14650.00,14990.00,14650.00,14937.00,9500,14937.00
2014-09-17,14825.00,14900.00,14650.10,14715.20,4900,14715.20
2014-09-16,14782.40,15350.00,14782.40,14822.70,41800,14822.70
2014-09-15,14825.00,14929.00,14798.70,14887.20,3500,14887.20
2014-09-12,14812.20,15000.00,14800.00,14837.10,6700,14837.10
2014-09-11,14851.00,14950.00,14825.00,14856.00,9400,14856.00
2014-09-10,15020.00,15099.00,14740.00,14798.70,12200,14798.70
2014-09-09,15000.00,15025.00,14851.60,14942.80,9600,14942.80
2014-09-08,14655.00,14898.00,14655.00,14869.00,9300,14869.00
2014-09-05,14675.00,14797.00,14651.00,14715.70,9900,14715.70
2014-09-04,14830.00,14862.00,14675.30,14722.20,5400,14722.20
2014-09-03,15000.00,15100.00,14788.10,14835.80,7800,14835.80
2014-09-02,14995.50,15144.00,14925.00,15000.60,7800,15000.60
2014-09-01,14900.00,15100.00,14871.00,14995.50,5700,14995.50
2014-08-29,14809.90,14809.90,14809.90,14809.90,000,14809.90
2014-08-28,14789.00,14848.00,14601.10,14809.90,3800,14809.90
2014-08-27,14677.00,14940.00,14650.00,14689.50,3600,14689.50
2014-08-26,14890.90,14890.90,14702.00,14738.00,3600,14738.00
2014-08-25,14712.00,14998.00,14712.00,14779.00,5400,14779.00
2014-08-22,14560.00,14830.00,14480.00,14752.50,6400,14752.50
