Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,23.18,23.47,23.18,23.31,18500,23.31
2014-12-30,23.27,23.44,23.27,23.44,16200,23.44
2014-12-29,23.84,23.84,23.68,23.77,45100,23.77
2014-12-26,24.13,24.17,24.02,24.12,21200,24.12
2014-12-24,23.90,23.96,23.87,23.91,22700,23.91
2014-12-23,23.85,23.93,23.78,23.90,40800,23.90
2014-12-22,23.88,23.88,23.76,23.78,21600,23.78
2014-12-19,23.82,24.05,23.81,24.04,24100,24.04
2014-12-18,23.84,23.84,23.62,23.74,57300,23.74
2014-12-17,23.07,23.44,23.07,23.26,43300,23.26
2014-12-16,22.98,23.19,22.89,23.02,31600,23.02
2014-12-15,23.08,23.21,22.70,22.82,25500,22.82
2014-12-12,23.50,23.58,23.33,23.38,30800,23.38
2014-12-11,23.90,24.06,23.74,23.76,24600,23.76
2014-12-10,23.89,23.93,23.59,23.70,24000,23.70
2014-12-09,24.24,24.39,24.13,24.38,33800,24.38
2014-12-08,24.48,24.50,24.28,24.34,22100,24.34
2014-12-05,24.64,24.72,24.61,24.66,27200,24.66
2014-12-04,24.55,24.64,24.46,24.60,76200,24.60
2014-12-03,24.19,24.45,24.19,24.44,71600,24.44
2014-12-02,24.67,24.70,24.60,24.65,39700,24.65
2014-12-01,23.70,24.00,23.70,23.97,35000,23.97
2014-11-28,23.36,23.46,23.30,23.35,17400,23.35
2014-11-26,23.21,23.28,23.18,23.22,25300,23.22
2014-11-25,23.26,23.36,23.18,23.31,27500,23.31
2014-11-24,23.60,23.60,23.50,23.53,34100,23.53
2014-11-21,23.60,23.73,23.42,23.52,48700,23.52
2014-11-20,23.29,23.33,23.14,23.29,31100,23.29
2014-11-19,23.46,23.56,23.41,23.51,29600,23.51
2014-11-18,23.45,23.53,23.36,23.53,18500,23.53
2014-11-17,23.32,23.34,23.27,23.33,23600,23.33
2014-11-14,23.44,23.55,23.44,23.53,26600,23.53
2014-11-13,23.33,23.52,23.33,23.43,22500,23.43
2014-11-12,23.14,23.20,23.13,23.18,17900,23.18
2014-11-11,23.35,23.47,23.35,23.41,25700,23.41
2014-11-10,23.24,23.24,22.99,23.17,19800,23.17
2014-11-07,22.87,22.97,22.77,22.89,27900,22.89
2014-11-06,23.28,23.35,23.25,23.33,26900,23.33
2014-11-05,23.46,23.46,23.31,23.42,27500,23.42
2014-11-04,23.11,23.36,23.08,23.33,46600,23.33
2014-11-03,22.94,23.58,22.94,23.42,73400,23.42
2014-10-31,22.40,23.37,22.40,23.30,34700,23.30
2014-10-30,22.81,23.08,22.80,23.03,29600,23.03
2014-10-29,22.88,22.92,22.77,22.88,38700,22.88
2014-10-28,22.59,22.68,22.59,22.67,28900,22.67
2014-10-27,22.78,22.78,22.52,22.68,51400,22.68
2014-10-24,22.48,22.50,22.31,22.50,56900,22.50
2014-10-23,22.27,22.52,22.27,22.38,45900,22.38
2014-10-22,22.53,22.58,22.32,22.32,134300,22.32
2014-10-21,22.02,22.25,22.02,22.25,37000,22.25
2014-10-20,21.94,22.16,21.94,22.11,47600,22.11
2014-10-17,21.65,21.70,21.37,21.59,31200,21.59
2014-10-16,21.27,21.63,21.23,21.54,62100,21.54
2014-10-15,21.44,21.81,21.26,21.57,65300,21.57
2014-10-14,21.61,21.70,21.54,21.62,46100,21.62
2014-10-13,21.74,21.75,21.31,21.31,52200,21.31
2014-10-10,21.70,21.87,21.58,21.62,47600,21.62
2014-10-09,22.23,22.39,22.05,22.15,38800,22.15
2014-10-08,22.33,22.60,22.28,22.50,38700,22.50
2014-10-07,22.65,22.71,22.49,22.59,20400,22.59
2014-10-06,22.62,22.63,22.52,22.59,31600,22.59
2014-10-03,22.55,22.69,22.55,22.66,41500,22.66
2014-10-02,22.27,22.27,22.05,22.25,49600,22.25
2014-10-01,22.74,22.83,22.66,22.66,26200,22.66
2014-09-30,23.17,23.17,23.00,23.10,37300,23.10
2014-09-29,22.86,23.12,22.86,23.07,60600,23.07
2014-09-26,23.11,23.34,23.11,23.32,45200,23.32
2014-09-25,23.18,23.45,23.18,23.34,44900,23.34
2014-09-24,22.80,23.03,22.80,23.00,31200,23.00
2014-09-23,22.27,22.49,22.27,22.43,42500,22.43
2014-09-22,22.32,22.48,22.32,22.42,25100,22.42
2014-09-19,22.35,22.37,22.33,22.36,29200,22.36
2014-09-18,22.27,22.37,22.25,22.30,89800,22.30
2014-09-17,22.16,22.30,22.10,22.17,29700,22.17
2014-09-16,22.13,22.26,22.07,22.17,25700,22.17
2014-09-15,22.36,22.38,22.26,22.36,32300,22.36
2014-09-12,22.48,22.48,22.29,22.36,21900,22.36
2014-09-11,22.65,22.65,22.56,22.63,34700,22.63
2014-09-10,22.87,22.97,22.86,22.93,16000,22.93
2014-09-09,22.68,22.73,22.59,22.63,15300,22.63
2014-09-08,22.47,22.59,22.46,22.59,29000,22.59
2014-09-05,22.54,22.60,22.45,22.45,33100,22.45
2014-09-04,22.22,22.34,22.22,22.26,25100,22.26
2014-09-03,22.38,22.40,22.30,22.34,16500,22.34
2014-09-02,22.25,22.28,22.19,22.26,33000,22.26
2014-08-29,21.72,21.74,21.68,21.72,22900,21.72
2014-08-28,21.57,21.68,21.57,21.68,31800,21.68
2014-08-27,22.00,22.00,21.90,21.97,22400,21.97
2014-08-26,22.39,22.44,22.35,22.41,35100,22.41
2014-08-25,22.51,22.51,22.46,22.46,35100,22.46
2014-08-22,22.39,22.42,22.32,22.33,30600,22.33
2014-08-21,22.70,22.70,22.51,22.64,16600,22.64
2014-08-20,22.53,22.67,22.53,22.62,19200,22.62
2014-08-19,22.87,22.98,22.87,22.93,27700,22.93
2014-08-18,22.67,22.81,22.67,22.79,20600,22.79
2014-08-15,22.52,22.59,22.48,22.59,51800,22.59
2014-08-14,22.42,22.47,22.40,22.44,42000,22.44
2014-08-13,22.48,22.54,22.48,22.54,18800,22.54
2014-08-12,22.42,22.42,22.33,22.38,44800,22.38
2014-08-11,22.52,22.59,22.50,22.50,24000,22.50
2014-08-08,22.11,22.34,22.11,22.33,48600,22.33
2014-08-07,22.63,22.68,22.39,22.49,36500,22.49
2014-08-06,22.45,22.51,22.37,22.47,26700,22.47
2014-08-05,22.76,22.87,22.63,22.69,24200,22.69
2014-08-04,22.90,23.05,22.90,23.02,17900,23.02
2014-08-01,23.05,23.12,23.00,23.06,33000,23.06
2014-07-31,23.27,23.33,23.24,23.29,29700,23.29
2014-07-30,23.80,23.99,23.80,23.99,42700,23.99
2014-07-29,23.72,23.81,23.72,23.80,29800,23.80
2014-07-28,23.67,23.74,23.67,23.73,28300,23.73
2014-07-25,23.44,23.66,23.43,23.50,13500,23.50
2014-07-24,23.53,23.60,23.53,23.55,25500,23.55
2014-07-23,23.48,23.55,23.47,23.53,32200,23.53
2014-07-22,23.35,23.44,23.35,23.41,23800,23.41
2014-07-21,23.25,23.25,23.13,23.25,29400,23.25
2014-07-18,23.25,23.36,23.18,23.36,88000,23.36
