Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,37.30,37.56,36.72,36.74,477600,36.74
2014-12-30,37.00,37.59,36.94,37.26,1004700,37.26
2014-12-29,37.47,37.49,37.07,37.11,1555600,37.11
2014-12-26,38.28,38.57,38.06,38.52,557800,38.52
2014-12-24,37.64,38.46,37.06,38.18,1842600,38.18
2014-12-23,34.10,39.80,33.61,38.04,3939300,38.04
2014-12-22,34.81,34.87,34.71,34.78,232000,34.78
2014-12-19,34.22,34.62,34.06,34.54,494200,34.54
2014-12-18,33.73,34.52,33.67,34.49,329100,34.49
2014-12-17,32.62,33.47,32.49,33.26,356700,33.26
2014-12-16,32.55,33.26,32.38,32.57,386700,32.57
2014-12-15,32.61,32.72,31.65,32.06,460100,32.06
2014-12-12,33.09,33.18,32.47,32.48,298700,32.48
2014-12-11,33.03,33.32,32.88,32.89,869500,32.89
2014-12-10,33.31,33.38,33.02,33.18,495300,33.18
2014-12-09,33.59,33.97,33.51,33.97,470500,33.97
2014-12-08,34.50,34.73,34.34,34.44,711300,34.44
2014-12-05,34.79,35.26,34.61,35.18,511000,35.18
2014-12-04,34.57,34.71,34.22,34.65,890100,34.65
2014-12-03,34.66,34.96,34.44,34.92,1306900,34.92
2014-12-02,34.38,34.55,34.16,34.47,389000,34.47
2014-12-01,34.59,34.75,34.33,34.52,482100,34.52
2014-11-28,34.64,35.14,34.59,34.71,726700,34.71
2014-11-26,35.32,35.76,34.82,35.76,909900,35.76
2014-11-25,35.56,35.76,35.27,35.42,786900,35.42
2014-11-24,35.93,37.15,35.32,36.12,2544600,36.12
2014-11-21,34.40,34.69,34.24,34.62,767000,34.62
2014-11-20,34.26,34.38,34.02,34.35,332700,34.35
2014-11-19,33.76,34.34,33.66,34.28,424300,34.28
2014-11-18,33.66,33.90,33.52,33.78,178500,33.78
2014-11-17,33.07,33.78,33.03,33.72,310800,33.72
2014-11-14,33.12,33.34,32.98,33.27,109800,33.27
2014-11-13,33.46,33.73,33.34,33.70,121500,33.70
2014-11-12,33.63,33.63,33.39,33.53,151500,33.53
2014-11-11,33.72,33.91,33.66,33.91,109400,33.91
2014-11-10,33.33,33.52,33.27,33.46,259700,33.46
2014-11-07,33.43,33.45,33.14,33.21,225300,33.21
2014-11-06,33.82,33.94,33.45,33.60,189700,33.60
2014-11-05,34.11,34.31,33.90,34.22,156500,34.22
2014-11-04,33.76,33.85,33.60,33.77,148200,33.77
2014-11-03,33.65,33.75,33.55,33.70,180300,33.70
2014-10-31,33.82,34.10,33.77,34.05,190400,34.05
2014-10-30,33.46,34.11,33.25,33.83,378500,33.83
2014-10-29,32.80,33.18,32.68,32.74,276800,32.74
2014-10-28,32.48,32.93,32.33,32.91,667300,32.91
2014-10-27,31.57,31.99,31.53,31.77,164700,31.77
2014-10-24,31.74,31.90,31.70,31.84,150100,31.84
2014-10-23,31.67,32.06,31.66,31.80,307700,31.80
2014-10-22,31.38,31.61,31.16,31.34,424000,31.34
