Date\name,Intel,AMD,Qualcomm,MicronTech,Infenion,STMElectro,Texas,Toyota,VW,Ford,Nissan,Honda,PSA,Daimler,Tata,Fuji,Boing,UnitTech,LockMartin,Honeywell,GenDyn,BAE,Northrop,Raytheon,RollsRoyce,Textron,Embraer,Spirit,Apple,Micrsoft,Nokia,Sony,LG,Motorola,Lenovo,BlackBerry,Alcatel,Vodafone,JandJ,GE,Medtronic,Fresenius,Koninklijke (Philips),Cardinal,Novartis,Stryker,Becton,BostonScience,Allergan,St Jude,3M,Abbott,Zimmer,SmithAndNephew,Olympus,Bayer,Bard,Varian,DENTSPLY,Hologic,Danaher,Edwards,Intuitive,ABB Robo,Adept,Bosch,CaterPill,Denso,Google,Unversal Electro
2014-12-31,36.63,2.64,75.21,35.45,10.77,7.53,54.2,125.6,43.78,15.51,17.5,29.64,12.32,83.72,42.73,71.43,132.25,116.6,194.91,100.97,139.2,29.16,150.75,109.4,66.83,42.71,36.93,43.28,112.82,46.73,7.94,20.71,15.17,67.54,26.1,11.01,3.58,34.49,105.61,25.42,73.28,37.33,29.19,82.15,93.29,95.98,140.23,13.37,214.13,66.3,166,45.7,115.06,37.3,35.48,137.05,169.15,88.05,53.55,26.95,86.56,129.69,528.19,21.44,8.61,19307.1,92.89,23.18,537.74,65.06
2014-12-30,37.08,2.64,74.75,35.43,10.7,7.55,54.37,125.96,43.97,15.48,17.67,29.6,12.31,84.49,42.02,71.78,132,116.89,195.24,101.2,140.62,29.38,150.53,110.39,67.11,42.91,37.08,43.33,113.64,47.44,8,20.6,15.25,67.61,26.2,10.9,3.63,34.35,105.42,25.61,73.44,37.58,29.34,81.05,93.42,95.43,139.54,13.23,213,66.44,166.55,45.61,113.49,37,35.63,137.99,168.83,88.6,53.55,26.86,86.86,129.53,525.29,21.5,8.77,19590,93.6,23.27,534.96,64.67
2014-12-29,37.45,2.64,75,35.27,10.7,7.56,54.7,127.08,44.21,15.37,17.42,29.97,12.4,84.45,41.91,72.66,131.72,116.35,196.93,101.42,141,29.28,150.92,110,68.03,42.86,36.46,43.71,113.79,47.7,8.07,21.21,15.56,67.24,26.15,10.77,3.63,34.53,104.64,25.7,73.38,37.52,29.35,81.59,94.09,95.35,138.93,13.11,211.32,66.17,166.3,45.59,113.75,37.47,36.04,139.74,168.13,88.35,53.83,26.95,86.27,129.19,532.07,21.53,8.98,19300,94.2,23.84,540.5,64.82
2014-12-26,37.52,2.65,75.09,35.03,10.65,7.66,54.91,127,44.35,15.3,17.74,30.3,12.59,85.33,41.11,73.36,131.29,117.52,196.71,102.05,141.93,29.46,151.93,110.95,68.33,43.32,38.04,43.51,112.1,48.41,8.1,21.38,15.52,67.43,26.13,10.78,3.67,34.73,105.07,25.84,74.05,37.18,29.38,82.37,94.23,96.14,140.17,13.14,210.98,66.98,167.34,45.81,114.16,38.28,36.81,140.49,169.3,88.52,53.75,26.93,86.89,130.93,531.39,21.47,8.35,18600,93.95,24.13,536.93,64.05
2014-12-25,37.47,2.63,74.69,35.03,10.58,7.59,54.99,127.2,44.06,15.37,17.68,30.47,12.56,85,41.41,73.49,130.3,117.66,195.97,102.34,141.6,29.4,151.55,110.36,67.65,43.41,37.41,43.31,112.58,48.64,8.05,21.23,15.49,66.94,25.95,10.81,3.64,34.74,104.38,25.89,73.88,37.3,29.48,82.11,93.29,96.58,138.94,13.08,209.14,66.04,166.17,45.74,113.51,37.64,36.63,139.7,169.46,87.87,53.98,26.9,87.07,129.76,528.61,21.55,8.55,18400,93.64,23.9,538.82,63.49
2014-12-24,37.4,2.69,74.61,34.92,10.65,7.59,54.96,126.74,44.35,15.21,17.64,30.27,12.4,84.95,42.2,72.27,129.04,117.5,198.5,101.61,142.14,29.52,153.01,110.53,67.46,43.05,37,42.66,113.23,48.37,8.01,20.88,15.46,66.64,25.92,10.81,3.65,34.92,106.66,25.69,75.55,37.52,29.37,83.18,94.68,95.46,140.96,13.19,212.03,67.65,168.02,46.13,115.53,34.1,36.82,141.39,170.25,88.7,54.37,27.22,87.3,133.25,537.01,21.48,8.74,18421.8,92.99,23.85,534.51,63.33
2014-12-23,36.39,2.55,73.58,34.75,10.59,7.61,54.49,126.3,44.72,15.08,17.61,30.09,12.38,85.1,41.81,73.06,126.73,115.28,193.4,100.97,140.68,29.45,150.34,107.32,68.42,42.74,36.65,41.86,112.16,47.78,7.91,20.8,15.5,65.47,26.28,10.1,3.6,35.29,105.69,25.65,74.65,37.48,29.14,82.92,95.27,94.81,139.32,13.15,212.6,67.2,166.22,45.93,115.07,34.81,36.63,141.45,169.61,88.04,53.81,26.96,86.74,133.24,532.63,21.48,8.35,18450.1,92.46,23.88,520.61,62.58
2014-12-22,37.02,2.53,73.29,34.59,10.53,7.52,54.95,126.72,44.44,14.79,17.57,30.22,12.49,84.27,41.91,73.31,125.63,116.28,191.55,100.66,140.12,29.28,148.71,106.29,68,42.03,36.41,41.78,112.26,47.63,7.85,20.67,15.32,65.43,26,9.19,3.58,35.06,106.63,25.12,74.66,36.89,28.81,82.81,94.41,96.13,141.18,13.28,212.27,67.48,164.78,45.91,115.63,34.22,36.91,138.78,171.5,87.61,54.21,26.93,86.1,132.14,520.82,21.22,8.78,18590.1,91.58,23.82,516.99,62.99
2014-12-19,36.75,2.58,73.28,34.62,10.56,7.47,54.51,124.13,44.6,14.7,17.29,30.01,12.47,84.32,41.47,72.7,127.13,115.15,187.55,98.96,138.72,29.39,145.33,103.35,66.72,41.37,35.56,42.11,111.87,46.58,7.95,21.13,15.77,64.74,25.65,10.12,3.53,34.92,105.62,25.13,73.73,36.44,28.93,81.22,93.69,93.97,138.24,13.18,210.5,66.29,162.4,44.71,113.34,33.73,37.29,140.2,170.62,86.85,54.05,26.91,85.1,130.96,514.79,21.07,8.49,18505,91.89,23.84,515.99,63.15
2014-12-18,35.62,2.5,70.42,33.08,10.39,7.3,52.45,122,43.7,14.17,17.32,29.23,12.24,82.97,40.11,71,124.28,113.51,185.39,96.4,136.6,28.84,144.11,102.89,65.37,39.51,34.25,40.83,107.12,45.05,7.7,20.14,15.54,62.44,25.81,9.68,3.26,34.18,103.27,24.61,71.75,36.73,27.68,79.36,91.69,90.96,135.05,12.99,205.56,64.29,159.29,43.47,109.61,32.62,36.68,138.49,166.29,85.54,53,25.75,82.27,125.96,499.03,20.79,8.01,19195,89.4,23.07,499.86,60.35
