Date,Open,High,Low,Close,Volume,Adj Close
2015-01-01,29.16,29.16,29.16,29.16,000,29.16
2014-12-31,29.38,29.38,29.08,29.16,29500,29.16
2014-12-30,29.28,29.32,29.16,29.23,40900,29.23
2014-12-29,29.46,29.53,29.40,29.42,50300,29.42
2014-12-26,29.40,29.74,29.40,29.70,54000,29.70
2014-12-25,29.52,29.52,29.52,29.52,000,29.52
2014-12-24,29.45,29.58,29.10,29.52,37900,29.52
2014-12-23,29.28,29.39,29.24,29.36,49600,29.36
2014-12-22,29.39,29.45,29.27,29.34,67400,29.34
2014-12-19,28.84,28.96,28.75,28.92,81000,28.92
2014-12-18,28.74,29.13,28.73,29.07,79900,29.07
2014-12-17,28.22,28.47,27.99,28.30,151700,28.30
2014-12-16,27.92,28.39,27.82,27.90,109700,27.90
2014-12-15,27.51,27.58,27.04,27.14,79800,27.14
2014-12-12,28.12,28.27,27.44,27.51,149100,27.51
2014-12-11,28.82,28.82,28.43,28.43,327300,28.43
2014-12-10,29.43,29.44,28.83,29.02,140900,29.02
2014-12-09,29.66,29.66,29.25,29.37,36800,29.37
2014-12-08,30.00,30.13,29.87,29.98,37400,29.98
2014-12-05,30.16,30.21,30.00,30.03,123000,30.03
2014-12-04,30.10,30.39,30.10,30.32,58700,30.32
2014-12-03,30.21,30.28,30.03,30.06,31300,30.06
2014-12-02,30.09,30.17,30.00,30.08,48400,30.08
2014-12-01,29.84,30.33,29.84,30.00,29900,30.00
2014-11-28,30.00,30.24,30.00,30.06,66400,30.06
2014-11-27,29.98,29.98,29.98,29.98,000,29.98
2014-11-26,29.91,30.00,29.91,29.98,34500,29.98
2014-11-25,29.53,29.86,29.46,29.78,45700,29.78
2014-11-24,29.26,29.36,29.19,29.36,49200,29.36
2014-11-21,29.25,29.26,29.00,29.14,30500,29.14
2014-11-20,28.86,29.00,28.86,28.99,33600,28.99
2014-11-19,29.04,29.20,29.00,29.10,117800,29.10
2014-11-18,29.23,29.23,28.95,29.03,40400,29.03
2014-11-17,28.85,29.02,28.83,28.86,40400,28.86
2014-11-14,28.74,28.97,28.74,28.81,41300,28.81
2014-11-13,29.06,29.11,28.86,29.00,610200,29.00
2014-11-12,29.23,29.33,29.09,29.13,59500,29.13
2014-11-11,29.60,29.60,29.32,29.46,63100,29.46
2014-11-10,29.27,29.40,29.18,29.37,54600,29.37
2014-11-07,29.03,29.03,28.77,28.94,27700,28.94
2014-11-06,29.00,29.23,28.85,29.03,32900,29.03
2014-11-05,28.94,29.20,28.91,29.14,124400,29.14
2014-11-04,29.17,29.17,28.76,28.85,47800,28.85
2014-11-03,29.42,29.42,29.09,29.11,50400,29.11
2014-10-31,29.28,29.42,29.19,29.37,192600,29.37
