Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,66.83,67.70,66.83,67.19,14100,67.19
2014-12-30,67.11,67.49,66.58,66.60,65200,66.60
2014-12-29,68.03,68.45,68.03,68.22,35300,68.22
2014-12-26,68.33,68.56,67.95,68.22,15900,68.22
2014-12-24,67.65,68.22,67.65,67.92,18800,67.92
2014-12-23,67.46,68.10,67.45,67.77,50000,67.77
2014-12-22,68.42,68.80,68.18,68.78,32000,68.78
2014-12-19,68.00,68.53,67.84,68.47,31100,68.47
2014-12-18,66.72,67.85,66.62,67.78,41800,67.78
2014-12-17,65.37,66.33,65.27,66.00,65800,66.00
2014-12-16,64.47,65.91,64.47,65.03,61000,65.03
2014-12-15,63.85,64.31,63.21,63.64,177200,63.64
2014-12-12,64.63,64.67,62.93,63.08,33300,63.08
2014-12-11,65.61,66.00,65.56,65.80,216600,65.80
2014-12-10,69.53,69.53,67.23,67.78,147900,67.78
2014-12-09,68.17,68.18,67.55,67.83,87900,67.83
2014-12-08,69.60,70.01,69.43,69.68,36100,69.68
2014-12-05,70.34,70.55,69.90,70.06,25400,70.06
2014-12-04,68.98,69.60,68.73,69.35,154900,69.35
2014-12-03,68.02,68.38,67.79,68.22,473900,68.22
2014-12-02,67.13,67.35,66.79,67.35,30900,67.35
2014-12-01,67.16,67.27,67.00,67.15,23800,67.15
2014-11-28,65.90,66.30,65.69,65.80,12700,65.80
2014-11-26,68.53,68.73,68.29,68.71,70100,68.71
2014-11-25,67.35,68.30,67.28,68.30,118400,68.30
2014-11-24,66.80,67.49,66.45,66.64,78000,66.64
2014-11-21,67.16,67.16,66.32,66.62,45800,66.62
2014-11-20,66.20,66.45,66.01,66.25,28500,66.25
2014-11-19,66.06,66.68,65.91,66.26,169900,66.26
2014-11-18,66.25,66.44,65.86,65.94,66400,65.94
2014-11-17,66.16,66.78,66.16,66.51,38700,66.51
2014-11-14,66.44,66.94,66.18,66.18,98800,66.18
2014-11-13,66.55,67.00,66.35,66.69,620600,66.69
2014-11-12,67.93,68.29,67.81,67.98,24400,67.98
2014-11-11,69.60,69.84,69.39,69.84,37200,69.84
2014-11-10,69.48,69.56,69.23,69.40,24800,69.40
2014-11-07,68.98,69.35,68.67,69.26,48600,69.26
2014-11-06,69.72,69.85,69.02,69.27,33900,69.27
2014-11-05,68.07,68.42,67.88,68.35,33300,68.35
2014-11-04,68.00,68.25,67.45,67.85,135700,67.85
2014-11-03,67.46,67.46,66.65,66.90,26500,66.90
2014-10-31,67.13,67.75,66.36,67.46,27000,67.46
2014-10-30,64.52,65.68,64.41,65.50,24200,65.50
2014-10-29,64.45,64.95,64.15,64.16,27900,64.16
2014-10-28,63.79,63.89,63.50,63.70,82100,63.70
2014-10-27,63.50,63.51,62.98,63.06,18200,63.06
2014-10-24,64.07,64.48,64.00,64.48,22900,64.48
2014-10-23,63.80,64.67,63.46,64.32,27600,64.32
2014-10-22,64.51,65.05,64.07,64.22,69600,63.50
2014-10-21,65.69,66.00,64.59,65.06,172700,64.33
2014-10-20,67.12,67.16,65.76,66.31,48900,65.57
2014-10-17,64.34,68.20,64.00,67.24,53800,66.49
2014-10-16,73.80,76.00,73.80,75.71,26200,74.86
