Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,36.35,36.40,35.61,35.62,39000,35.62
2014-12-30,36.47,36.47,36.01,36.16,38100,36.16
2014-12-29,36.63,36.93,36.63,36.73,76400,36.73
2014-12-26,36.80,37.00,36.80,36.92,39400,36.92
2014-12-24,36.66,36.95,36.64,36.87,22300,36.87
2014-12-23,36.72,36.85,36.69,36.83,48900,36.83
2014-12-22,36.74,36.83,36.61,36.76,59300,36.76
2014-12-19,36.39,36.90,36.30,36.69,28400,36.69
2014-12-18,36.77,37.15,36.68,37.11,44500,37.11
2014-12-17,36.19,36.74,36.10,36.54,96200,36.54
2014-12-16,35.42,36.65,35.40,35.99,57300,35.99
2014-12-15,36.40,36.42,35.14,35.33,49400,35.33
2014-12-12,36.88,37.10,36.25,36.29,35000,36.29
2014-12-11,37.01,37.43,36.90,36.90,145100,36.90
2014-12-10,37.30,37.30,36.87,37.01,47400,37.01
2014-12-09,36.93,37.11,36.62,36.99,45800,36.99
2014-12-08,37.56,37.64,37.28,37.41,22300,37.41
2014-12-05,37.52,37.88,37.41,37.79,65100,37.79
2014-12-04,37.35,37.42,37.07,37.17,97600,37.17
2014-12-03,37.31,37.54,37.29,37.50,16800,37.50
2014-12-02,38.12,38.12,37.74,37.80,73000,37.80
2014-12-01,38.22,38.34,38.05,38.27,47000,38.27
2014-11-28,38.13,38.18,37.99,38.01,31900,38.01
2014-11-26,37.58,37.82,37.56,37.82,57600,37.82
2014-11-25,37.43,37.77,37.26,37.63,58700,37.63
2014-11-24,37.04,37.20,36.91,37.15,45900,37.15
2014-11-21,36.17,36.49,36.14,36.35,67400,36.35
2014-11-20,35.25,35.50,35.25,35.42,23400,35.42
2014-11-19,35.59,35.65,35.20,35.54,33000,35.54
2014-11-18,35.15,35.45,35.14,35.40,38300,35.40
2014-11-17,34.34,34.72,34.32,34.66,28200,34.66
2014-11-14,34.27,34.67,34.27,34.60,23400,34.60
2014-11-13,34.28,34.45,34.20,34.40,20300,34.40
2014-11-12,34.22,34.42,34.18,34.35,35800,34.35
2014-11-11,34.70,35.07,34.55,35.02,26800,35.02
2014-11-10,34.69,34.84,34.58,34.66,38400,34.66
2014-11-07,34.53,34.59,34.26,34.45,23900,34.45
2014-11-06,35.00,35.20,34.80,34.97,55000,34.97
2014-11-05,35.10,35.10,34.68,34.90,35600,34.90
2014-11-04,34.58,34.91,34.39,34.82,77100,34.82
2014-11-03,35.69,35.69,35.33,35.54,54200,35.54
2014-10-31,35.60,35.76,35.42,35.71,52900,35.71
2014-10-30,34.46,35.08,34.46,34.95,87400,34.95
2014-10-29,35.30,35.37,34.62,34.85,28700,34.85
2014-10-28,34.72,35.21,34.72,35.20,40900,35.20
2014-10-27,34.13,34.64,33.97,34.42,35300,34.42
2014-10-24,34.87,34.89,34.61,34.76,43900,34.76
2014-10-23,34.75,35.15,34.64,34.97,47400,34.97
2014-10-22,34.92,34.96,34.36,34.36,121700,34.36
2014-10-21,34.29,34.75,34.22,34.62,230700,34.62
