Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,17.50,17.53,17.45,17.47,78100,17.47
2014-12-30,17.67,17.71,17.50,17.56,105500,17.56
2014-12-29,17.42,17.66,17.41,17.66,99200,17.66
2014-12-26,17.74,17.93,17.74,17.82,58300,17.82
2014-12-24,17.68,17.75,17.67,17.75,31100,17.75
2014-12-23,17.64,17.70,17.64,17.67,131400,17.67
2014-12-22,17.61,17.90,17.61,17.65,261400,17.65
2014-12-19,17.57,17.74,17.57,17.60,174200,17.60
2014-12-18,17.29,17.56,17.19,17.35,351500,17.35
2014-12-17,17.32,17.56,17.31,17.46,273100,17.46
2014-12-16,17.50,17.50,17.16,17.18,106400,17.18
2014-12-15,17.63,17.63,17.28,17.31,257600,17.31
2014-12-12,18.07,18.10,17.95,17.97,124100,17.97
2014-12-11,18.31,18.47,18.26,18.31,114800,18.31
2014-12-10,18.49,18.49,18.13,18.20,162900,18.20
2014-12-09,18.53,18.92,18.53,18.67,142400,18.67
2014-12-08,18.88,18.88,18.58,18.62,76100,18.62
2014-12-05,18.80,18.92,18.80,18.87,188400,18.87
2014-12-04,18.61,18.78,18.61,18.68,109100,18.68
2014-12-03,18.68,18.68,18.50,18.68,139500,18.68
2014-12-02,18.50,18.77,18.50,18.75,54300,18.75
2014-12-01,18.60,18.67,18.50,18.60,82700,18.60
2014-11-28,18.61,18.78,18.60,18.61,37100,18.61
2014-11-26,18.91,19.00,18.91,18.95,50900,18.95
2014-11-25,18.93,18.93,18.63,18.64,102400,18.64
2014-11-24,18.43,18.43,18.30,18.34,61100,18.34
2014-11-21,18.34,18.50,18.29,18.31,40800,18.31
2014-11-20,18.34,18.38,18.32,18.33,66100,18.33
2014-11-19,18.30,18.37,18.30,18.30,49100,18.30
2014-11-18,18.31,18.56,18.31,18.56,153100,18.56
2014-11-17,18.41,18.45,18.28,18.32,124400,18.32
2014-11-14,18.65,18.65,18.48,18.58,52700,18.58
2014-11-13,18.43,18.59,18.43,18.54,69500,18.54
2014-11-12,18.26,18.36,18.26,18.29,96800,18.29
2014-11-11,18.38,18.50,18.36,18.49,86800,18.49
2014-11-10,18.31,18.40,18.26,18.29,50200,18.29
2014-11-07,18.25,18.25,17.99,18.19,50000,18.19
2014-11-06,18.47,18.47,18.35,18.40,37800,18.40
2014-11-05,18.40,18.60,18.37,18.52,95600,18.52
2014-11-04,18.18,18.70,18.16,18.61,140700,18.61
2014-11-03,18.11,18.64,18.11,18.60,92400,18.60
2014-10-31,17.95,18.48,17.87,18.45,610700,18.45
2014-10-30,17.63,17.66,17.50,17.64,62300,17.64
2014-10-29,17.60,17.70,17.55,17.65,60700,17.65
2014-10-28,17.58,17.58,17.50,17.54,85600,17.54
2014-10-27,17.65,17.65,17.58,17.59,92900,17.59
2014-10-24,17.69,17.70,17.61,17.68,100600,17.68
2014-10-23,17.57,17.81,17.55,17.76,134400,17.76
2014-10-22,17.88,17.88,17.72,17.73,58900,17.73
2014-10-21,17.77,17.87,17.75,17.87,114400,17.87
2014-10-20,17.81,18.06,17.78,18.02,190000,18.02
2014-10-17,17.56,17.82,17.41,17.58,108400,17.58
2014-10-16,17.82,17.91,17.62,17.88,274900,17.88
2014-10-15,17.73,17.81,17.53,17.75,98300,17.75
2014-10-14,17.91,18.00,17.85,17.88,282100,17.88
2014-10-13,18.35,18.35,17.82,17.88,70100,17.88
2014-10-10,18.33,18.33,18.06,18.09,37300,18.09
2014-10-09,18.50,18.51,18.29,18.33,22700,18.33
2014-10-08,18.40,18.64,18.31,18.62,71700,18.62
2014-10-07,18.66,18.75,18.60,18.62,42900,18.62
2014-10-06,18.65,18.83,18.65,18.76,716500,18.76
2014-10-03,18.79,18.80,18.57,18.77,77900,18.77
2014-10-02,18.86,18.86,18.61,18.78,124300,18.78
2014-10-01,19.16,19.18,18.90,19.03,558500,19.03
2014-09-30,19.47,19.48,19.31,19.36,70500,19.36
2014-09-29,19.60,19.62,19.51,19.56,85200,19.56
2014-09-26,19.62,19.78,19.62,19.73,43900,19.73
2014-09-25,19.71,19.73,19.53,19.53,40700,19.53
2014-09-24,19.75,19.88,19.74,19.86,70300,19.86
2014-09-23,19.66,19.72,19.66,19.71,52200,19.71
2014-09-22,19.77,19.77,19.65,19.67,79400,19.67
