Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,7.53,7.60,7.45,7.47,394400,7.47
2014-12-30,7.55,7.58,7.53,7.54,664700,7.54
2014-12-29,7.56,7.64,7.55,7.59,830700,7.59
2014-12-26,7.66,7.71,7.64,7.66,371400,7.66
2014-12-24,7.59,7.75,7.56,7.69,399700,7.69
2014-12-23,7.59,7.62,7.55,7.60,840400,7.60
2014-12-22,7.61,7.69,7.58,7.69,991700,7.69
2014-12-19,7.52,7.63,7.52,7.61,1334200,7.61
2014-12-18,7.47,7.74,7.45,7.69,1510300,7.69
2014-12-17,7.30,7.46,7.29,7.43,1294500,7.43
2014-12-16,7.12,7.45,7.10,7.26,1776500,7.26
2014-12-15,7.28,7.30,7.02,7.08,1201200,7.08
2014-12-12,7.45,7.47,7.30,7.34,1509300,7.24
2014-12-11,7.44,7.53,7.44,7.49,954500,7.39
2014-12-10,7.62,7.64,7.36,7.41,1942000,7.31
2014-12-09,7.56,7.71,7.54,7.65,1973900,7.55
2014-12-08,7.72,7.77,7.68,7.72,1171100,7.61
2014-12-05,7.64,7.75,7.61,7.71,838700,7.60
2014-12-04,7.55,7.60,7.52,7.57,413100,7.47
2014-12-03,7.46,7.59,7.46,7.59,381500,7.49
2014-12-02,7.48,7.50,7.43,7.46,286800,7.36
2014-12-01,7.51,7.52,7.45,7.47,491500,7.37
2014-11-28,7.53,7.56,7.48,7.48,339600,7.38
2014-11-26,7.45,7.53,7.44,7.53,466300,7.43
2014-11-25,7.40,7.49,7.38,7.48,577100,7.38
2014-11-24,7.34,7.35,7.30,7.35,555000,7.25
2014-11-21,7.28,7.32,7.24,7.30,1136700,7.20
2014-11-20,7.33,7.40,7.09,7.19,1184300,7.09
2014-11-19,7.38,7.42,7.35,7.40,620000,7.30
2014-11-18,7.21,7.33,7.18,7.31,883200,7.21
2014-11-17,7.13,7.14,7.07,7.12,609500,7.02
2014-11-14,6.92,7.04,6.91,7.02,844700,6.92
2014-11-13,6.75,6.85,6.74,6.81,896100,6.72
2014-11-12,6.88,6.90,6.84,6.88,274500,6.79
2014-11-11,6.87,6.92,6.86,6.92,236800,6.83
2014-11-10,6.88,6.92,6.87,6.88,375700,6.79
2014-11-07,6.83,6.85,6.77,6.84,527700,6.75
2014-11-06,6.93,6.99,6.89,6.91,634500,6.82
2014-11-05,6.85,6.89,6.80,6.86,800800,6.77
2014-11-04,6.82,6.83,6.71,6.77,721800,6.68
2014-11-03,6.80,6.83,6.77,6.79,520600,6.70
2014-10-31,6.60,6.73,6.56,6.72,1025100,6.63
2014-10-30,6.28,6.47,6.27,6.42,1709700,6.33
2014-10-29,6.51,6.56,6.33,6.37,4443300,6.28
2014-10-28,7.07,7.26,7.05,7.22,1862100,7.12
2014-10-27,6.90,6.97,6.84,6.95,898200,6.86
2014-10-24,6.96,7.05,6.94,7.03,431100,6.93
2014-10-23,6.96,7.05,6.93,6.97,1304500,6.88
2014-10-22,6.95,7.01,6.88,6.89,1804300,6.80
2014-10-21,6.77,6.97,6.77,6.93,1762200,6.84
2014-10-20,6.69,6.79,6.67,6.76,452100,6.67
