,Intel,AMD,Qualcomm,MicronTech,Infenion,STMElectro,Texas,Toyota,VW,Ford,Nissan,Honda,PSA,Daimler,Tata,Fuji,Boing,UnitTech,LockMartin,Honeywell,GenDyn,BAE,Northrop,Raytheon,RollsRoyce,Textron,Embraer,Apple,Micrsoft,Nokia,Sony,LG,Motorola,Lenovo,BlackBerry,Alcatel,Vodafone,JandJ,GE,Medtronic,Fresenius,Koninklijke (Philips),Cardinal,Novartis,Stryker,Becton,BostonScience,Allergan,St Jude,3M,Abbott,Zimmer,SmithAndNephew,Olympus,Bayer,Bard,Varian,DENTSPLY,Hologic,Danaher,Edwards,Intuitive,ABB Robo,Adept,Bosch,CaterPill,Denso,Google,Unversal Electro
Intel,1,0.2581,0.2996,0.4015,0.6858,0.5672,0.773,0.5499,-0.3256,0.4881,0.6238,0.6341,0.6906,0.8015,0.5713,0.4129,0.7367,0.8067,0.5283,0.8067,0.6868,0.6203,0.7834,0.5976,0.8089,0.4779,0.6978,0.2711,0.8438,0.6204,0.6972,0.7971,0.4358,0.775,0.5744,0.4263,0.7486,0.6362,0.6296,0.6978,0.3636,0.8416,0.4669,0.5485,0.752,0.5118,0.3232,0.2702,0.6461,0.7812,0.2568,0.7031,0.7522,0.8573,0.5262,0.2634,0.4257,0.4117,0.5425,0.5874,-0.047,0.4161,0.6351,0.2784,0.2691,0.732,0.6392,0.7488,0.7136
AMD,0.2581,1,0.2323,0.8876,0.5424,0.7517,0.6045,0.5918,-0.6374,0.1787,0.7645,0.2966,0.4722,0.1414,0.4558,0.553,0.5015,0.0559,-0.1888,0.0604,0.5248,0.3222,0.3478,-0.2715,0.3041,0.7224,0.5316,-0.5266,0.2043,0.1544,0.5407,0.4441,0.8711,-0.1922,0.1446,0.8359,0.003,0.0514,0.599,0.6045,-0.5485,0.3754,0.7216,0.5156,-0.0491,-0.4182,0.8609,0.8109,0.2783,0.3117,-0.5227,0.427,0.0334,0.2116,-0.5318,-0.5531,0.3489,0.6971,0.557,0.0326,-0.4513,-0.5037,-0.4159,0.7235,-0.3574,0.415,0.5692,-0.1703,-0.0838
Qualcomm,0.2996,0.2323,1,0.1177,0.1454,0.2068,0.3026,0.1839,-0.0582,0.1114,0.2693,0.2977,0.2197,0.1915,0.1522,0.3158,0.0975,0.1534,0.1134,0.2456,0.3953,0.1012,0.1957,0.0461,0.1155,0.1279,0.1672,0.0676,0.2087,0.1617,0.2778,0.2764,0.1179,0.2351,0.2086,0.2049,0.118,0.1993,0.1357,0.354,0.0622,0.1706,0.1662,0.2311,0.1374,0.1324,0.3695,0.0986,0.5144,0.2173,-0.05,0.2296,0.2227,0.2521,0.1991,-0.0322,0.3279,0.5188,0.0382,0.203,0.0695,0.1248,0.2287,0.1112,-0.1037,0.3331,0.191,0.2129,0.1974
MicronTech,0.4015,0.8876,0.1177,1,0.7135,0.8059,0.7495,0.7075,-0.765,0.3958,0.8762,0.5717,0.559,0.2853,0.6292,0.6364,0.6786,0.3151,-0.076,0.2207,0.4151,0.3961,0.4935,-0.112,0.5476,0.7903,0.6235,-0.3746,0.3851,0.1939,0.6379,0.5188,0.8971,-0.0504,0.3124,0.8535,0.1495,0.2061,0.6456,0.6219,-0.3541,0.5553,0.717,0.6307,0.1071,-0.2721,0.7412,0.8602,0.1846,0.5224,-0.3831,0.5657,0.1844,0.42,-0.3597,-0.4391,0.3238,0.5291,0.6028,0.1838,-0.3139,-0.3811,-0.2441,0.7112,-0.12,0.5408,0.6837,0.0505,0.0993
Infenion,0.6858,0.5424,0.1454,0.7135,1,0.9234,0.9103,0.9146,-0.4182,0.2719,0.8629,0.7035,0.8977,0.7803,0.6138,0.4901,0.9497,0.6077,0.5141,0.7016,0.528,0.7957,0.8429,0.3828,0.8118,0.895,0.9199,-0.2547,0.6568,0.6568,0.8992,0.6822,0.811,0.2796,0.748,0.8507,0.6936,0.4935,0.8968,0.795,0.017,0.8781,0.8598,0.7087,0.6578,0.2501,0.6289,0.6863,0.4142,0.6689,0.1499,0.8908,0.6751,0.8026,0.168,0.0609,0.2711,0.3991,0.8452,0.4751,-0.4556,-0.1916,0.2822,0.5954,-0.0085,0.7374,0.7739,0.3629,0.6343
STMElectro,0.5672,0.7517,0.2068,0.8059,0.9234,1,0.8537,0.9349,-0.4419,0.1219,0.8837,0.5548,0.8542,0.6094,0.4966,0.46,0.8518,0.3717,0.3691,0.5098,0.6119,0.7404,0.7286,0.1943,0.6357,0.954,0.8915,-0.5066,0.5516,0.5886,0.8687,0.6147,0.9258,0.057,0.6537,0.966,0.5046,0.3974,0.9141,0.8466,-0.263,0.7558,0.9445,0.6899,0.4836,0.0408,0.8423,0.8222,0.4369,0.5033,-0.0412,0.8433,0.5338,0.6466,-0.0891,-0.1339,0.2633,0.5382,0.859,0.4125,-0.5587,-0.4068,0.022,0.7097,-0.2824,0.6142,0.7795,0.1393,0.4385
Texas,0.773,0.6045,0.3026,0.7495,0.9103,0.8537,1,0.8352,-0.5202,0.4121,0.8968,0.7006,0.8833,0.7931,0.7252,0.5693,0.9157,0.6891,0.3949,0.7489,0.6179,0.7579,0.8555,0.3663,0.8463,0.8331,0.8988,-0.1191,0.712,0.6394,0.902,0.8393,0.7927,0.4074,0.6366,0.7993,0.6861,0.4783,0.8481,0.7874,0.0615,0.8971,0.7913,0.7061,0.6087,0.255,0.6513,0.6527,0.5161,0.7777,0.051,0.8431,0.6679,0.8041,0.2181,0.0218,0.3795,0.5583,0.8002,0.4394,-0.3837,-0.0402,0.3336,0.6176,0.08,0.8444,0.7952,0.4586,0.5867
Toyota,0.5499,0.5918,0.1839,0.7075,0.9146,0.9349,0.8352,1,-0.3449,0.0687,0.8588,0.6292,0.8964,0.6757,0.4777,0.3606,0.8592,0.4194,0.5097,0.6011,0.5351,0.8378,0.7792,0.3418,0.6474,0.927,0.9051,-0.4823,0.5929,0.679,0.8877,0.6227,0.8395,0.111,0.7544,0.8988,0.616,0.4304,0.9105,0.81,-0.1884,0.7867,0.9054,0.6124,0.5609,0.1998,0.7627,0.7354,0.3944,0.4796,0.0552,0.878,0.6239,0.6907,0.0511,0.029,0.1594,0.4157,0.8804,0.5274,-0.5311,-0.3517,0.1721,0.6501,-0.2626,0.5903,0.8395,0.216,0.5056
VW,-0.3256,-0.6374,-0.0582,-0.765,-0.4182,-0.4419,-0.5202,-0.3449,1,-0.6829,-0.6582,-0.5674,-0.2296,-0.1283,-0.7187,-0.6861,-0.4395,-0.3782,0.315,-0.1115,-0.2609,-0.0751,-0.312,0.1968,-0.5294,-0.425,-0.3298,-0.0655,-0.328,0.1452,-0.3703,-0.384,-0.5626,-0.0649,-0.0292,-0.4891,-0.0127,-0.0917,-0.2578,-0.3249,0.055,-0.4105,-0.3182,-0.5227,0.0215,0.2386,-0.3612,-0.6742,-0.0811,-0.5601,0.3407,-0.3286,-0.0895,-0.2738,0.2635,0.3998,-0.4557,-0.3449,-0.2942,0.038,-0.0415,0.0519,0.2084,-0.4042,-0.2955,-0.4589,-0.4602,-0.1887,0.0396
Ford,0.4881,0.1787,0.1114,0.3958,0.2719,0.1219,0.4121,0.0687,-0.6829,1,0.4271,0.6463,0.0786,0.2664,0.8007,0.6392,0.3581,0.6741,-0.1562,0.2959,0.1776,-0.0491,0.3078,0.0975,0.6524,0.059,0.1777,0.6371,0.4811,-0.1788,0.2125,0.4018,0.1367,0.5001,0.0272,0.0648,0.1701,0.2503,0.0064,0.1069,0.4711,0.418,-0.0541,0.4238,0.179,0.1141,-0.1158,0.2603,0.1517,0.7374,-0.0355,0.213,0.2412,0.3795,0.1698,-0.0836,0.5333,0.0649,0.0223,-0.0226,0.4086,0.4628,0.212,0.0074,0.7571,0.5086,0.208,0.5578,0.2201
