Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,83.72,84.12,82.40,82.40,29800,82.40
2014-12-30,84.49,84.49,83.32,83.51,31800,83.51
2014-12-29,84.45,85.42,84.45,84.87,41600,84.87
2014-12-26,85.33,85.91,85.20,85.60,25700,85.60
2014-12-24,85.00,85.71,84.77,85.50,23200,85.50
2014-12-23,84.95,85.33,84.66,85.21,38900,85.21
2014-12-22,85.10,85.53,84.69,85.53,48800,85.53
2014-12-19,84.27,85.40,83.84,84.72,47700,84.72
2014-12-18,84.32,85.04,83.91,85.01,42800,85.01
2014-12-17,82.97,84.68,82.97,84.02,36900,84.02
2014-12-16,81.37,83.88,81.06,82.71,51500,82.71
2014-12-15,83.34,83.63,80.28,80.75,43400,80.75
2014-12-12,83.77,84.32,82.49,82.63,41400,82.63
2014-12-11,84.57,84.93,84.01,84.47,46100,84.47
2014-12-10,84.76,84.85,84.07,84.10,123400,84.10
2014-12-09,84.41,85.30,84.22,84.76,92700,84.76
2014-12-08,85.24,85.45,84.55,84.90,37600,84.90
2014-12-05,85.46,86.14,85.36,85.79,43100,85.79
2014-12-04,84.43,84.84,83.72,84.13,31200,84.13
2014-12-03,84.09,84.26,83.68,84.20,40100,84.20
2014-12-02,84.42,84.42,83.67,84.10,43000,84.10
2014-12-01,84.21,85.00,82.64,84.85,40300,84.85
2014-11-28,84.25,84.42,83.90,83.90,16200,83.90
2014-11-26,82.74,83.37,82.74,83.36,45200,83.36
2014-11-25,82.27,82.70,82.05,82.67,67800,82.67
2014-11-24,81.48,81.78,81.08,81.45,33200,81.45
2014-11-21,79.66,80.06,79.39,79.72,41900,79.72
2014-11-20,78.17,79.03,78.17,78.98,39700,78.98
2014-11-19,78.85,79.15,78.26,78.90,44400,78.90
2014-11-18,78.04,78.80,78.04,78.74,41800,78.74
2014-11-17,76.00,76.65,75.66,76.64,23200,76.64
2014-11-14,75.84,76.67,75.80,76.57,23400,76.57
2014-11-13,75.96,76.66,75.94,76.47,28200,76.47
2014-11-12,76.14,76.45,75.88,76.30,82100,76.30
2014-11-11,77.11,78.02,76.92,77.99,40400,77.99
2014-11-10,77.76,78.30,77.63,77.93,28500,77.93
2014-11-07,77.60,77.65,76.96,77.20,28800,77.20
2014-11-06,78.43,78.98,77.58,78.23,51500,78.23
2014-11-05,78.21,78.48,77.56,77.99,51400,77.99
2014-11-04,77.14,77.32,76.69,77.24,31200,77.24
2014-11-03,77.51,77.71,76.85,77.25,69400,77.25
2014-10-31,77.72,78.01,77.55,77.97,57300,77.97
2014-10-30,75.60,77.11,75.30,76.68,31300,76.68
2014-10-29,77.98,78.13,76.14,76.82,52800,76.82
2014-10-28,76.41,77.64,76.37,77.63,31500,77.63
2014-10-27,74.84,76.00,74.47,75.56,28200,75.56
2014-10-24,76.50,76.75,76.00,76.32,47600,76.32
2014-10-23,75.50,76.79,75.28,76.40,36300,76.40
2014-10-22,76.16,76.16,74.62,74.80,41100,74.80
2014-10-21,75.48,76.27,75.33,76.07,32100,76.07
2014-10-20,74.62,75.22,74.47,75.22,37900,75.22
2014-10-17,75.47,76.11,74.92,75.50,30800,75.50
2014-10-16,73.04,74.94,72.90,74.34,68000,74.34
2014-10-15,73.47,73.88,71.70,73.83,82300,73.83
2014-10-14,74.79,75.05,73.79,74.23,51500,74.23
2014-10-13,71.87,72.41,71.20,71.39,43300,71.39
2014-10-10,71.40,71.70,70.21,70.58,52800,70.58
2014-10-09,74.28,74.28,72.00,72.13,100800,72.13
2014-10-08,73.10,74.97,72.79,74.80,55300,74.80
2014-10-07,74.12,74.55,73.21,73.22,50100,73.22
2014-10-06,74.97,75.19,73.60,74.26,78900,74.26
2014-10-03,74.67,74.85,74.42,74.83,58100,74.83
2014-10-02,76.42,76.42,74.55,75.20,62500,75.20
2014-10-01,75.99,76.30,75.50,75.69,66800,75.69
2014-09-30,76.15,76.80,75.71,76.30,76600,76.30
2014-09-29,76.80,77.10,76.46,76.60,83100,76.60
2014-09-26,77.91,78.10,77.37,77.72,53800,77.72
2014-09-25,78.64,78.64,77.10,77.39,69500,77.39
2014-09-24,78.13,78.98,77.77,78.92,41200,78.92
2014-09-23,78.53,79.17,78.24,78.61,62400,78.61
2014-09-22,80.80,80.87,80.03,80.28,45600,80.28
2014-09-19,82.06,82.30,81.50,81.50,25600,81.50
2014-09-18,82.14,82.50,82.11,82.17,54000,82.17
2014-09-17,82.35,82.50,81.61,81.61,25800,81.61
2014-09-16,80.98,82.40,80.98,82.34,31900,82.34
2014-09-15,81.66,81.93,81.40,81.51,31500,81.51
2014-09-12,81.19,81.50,80.58,81.24,22100,81.24
2014-09-11,81.28,81.81,81.16,81.63,37700,81.63
2014-09-10,81.44,82.64,81.44,82.58,22300,82.58
2014-09-09,83.28,83.41,82.78,82.96,25300,82.96
2014-09-08,83.89,84.27,83.35,83.76,35300,83.76
2014-09-05,85.20,85.23,84.34,84.95,43200,84.95
2014-09-04,82.86,83.60,82.78,83.01,51500,83.01
2014-09-03,82.90,83.09,82.40,82.68,49700,82.68
2014-09-02,81.26,81.57,80.74,81.02,34700,81.02
2014-08-29,81.88,81.90,81.11,81.62,24300,81.62
2014-08-28,81.52,82.05,81.25,81.97,26000,81.97
2014-08-27,83.10,83.40,82.64,83.25,25300,83.25
2014-08-26,83.34,83.95,83.24,83.45,30700,83.45
2014-08-25,82.57,83.14,82.34,82.86,41300,82.86
2014-08-22,82.08,82.18,81.11,81.72,26500,81.72
2014-08-21,82.01,82.90,82.01,82.65,54200,82.65
2014-08-20,80.91,81.82,80.85,81.56,21600,81.56
2014-08-19,82.38,82.38,81.96,82.20,19300,82.20
2014-08-18,81.47,81.79,81.31,81.57,44100,81.57
2014-08-15,82.14,82.40,79.50,80.34,85200,80.34
2014-08-14,82.11,82.41,81.65,81.84,71300,81.84
2014-08-13,80.94,81.31,80.80,81.19,22500,81.19
2014-08-12,80.46,80.46,79.79,80.24,36500,80.24
2014-08-11,81.02,81.68,81.02,81.32,48800,81.32
2014-08-08,79.30,80.55,78.95,80.55,67100,80.55
2014-08-07,80.27,80.51,78.12,78.54,87200,78.54
2014-08-06,78.42,80.11,78.42,79.69,43900,79.69
2014-08-05,80.89,80.97,79.73,80.01,56800,80.01
2014-08-04,82.89,83.00,81.88,82.84,62900,82.84
2014-08-01,82.14,82.56,80.97,81.50,40200,81.50
2014-07-31,83.33,83.35,82.11,82.23,43800,82.23
2014-07-30,85.21,85.45,84.15,84.72,66800,84.72
2014-07-29,85.44,86.02,85.42,85.52,44300,85.52
2014-07-28,85.28,85.49,84.25,85.08,45900,85.08
2014-07-25,88.72,88.72,87.35,87.70,28500,87.70
2014-07-24,89.38,89.55,88.82,89.39,14300,89.39
2014-07-23,89.02,89.02,87.81,88.49,23800,88.49
2014-07-22,88.63,89.25,88.63,89.02,27300,89.02
2014-07-21,87.77,87.97,87.50,87.97,28100,87.97
2014-07-18,87.97,88.94,87.72,88.91,49100,88.91
2014-07-17,90.76,90.99,89.08,89.41,36200,89.41
2014-07-16,91.35,91.95,91.09,91.88,15200,91.88
2014-07-15,92.44,92.44,91.16,91.70,17800,91.70
2014-07-14,91.74,92.19,91.56,92.01,23100,92.01
2014-07-11,90.94,90.94,90.39,90.79,27900,90.79
2014-07-10,90.89,91.85,90.80,91.39,33600,91.39
2014-07-09,92.85,93.13,92.54,92.97,52000,92.97
2014-07-08,93.47,93.62,92.50,92.86,46900,92.86
2014-07-07,95.00,95.23,94.08,94.24,40400,94.24
2014-07-03,95.42,96.00,95.42,95.72,27900,95.72
2014-07-02,95.18,95.35,94.92,95.13,39900,95.13
2014-07-01,94.09,95.00,93.70,94.69,49500,94.69
2014-06-30,93.11,93.75,92.92,93.37,53700,93.37
2014-06-27,93.00,93.30,92.93,93.28,45900,93.28
2014-06-26,93.04,93.06,91.91,92.97,42200,92.97
2014-06-25,93.67,93.95,93.32,93.94,65100,93.94
2014-06-24,94.21,94.21,93.24,93.52,43500,93.52
2014-06-23,94.88,94.88,93.50,93.58,43200,93.58
2014-06-20,96.07,96.07,95.04,95.27,46200,95.27
2014-06-19,96.03,96.03,95.23,95.45,29300,95.45
2014-06-18,94.40,95.49,94.38,95.25,62500,95.25
2014-06-17,93.80,94.57,93.80,94.56,23900,94.56
2014-06-16,93.74,94.12,93.72,93.93,22200,93.93
2014-06-13,93.35,93.61,92.91,93.30,32900,93.30
2014-06-12,94.14,94.41,93.59,93.66,23600,93.66
2014-06-11,94.17,94.51,94.00,94.00,26100,94.00
2014-06-10,94.90,95.20,94.65,95.00,26500,95.00
2014-06-09,94.67,95.26,94.62,94.97,39800,94.97
2014-06-06,95.94,96.19,95.48,95.75,23200,95.75
2014-06-05,95.20,96.22,94.82,96.02,49000,96.02
2014-06-04,93.84,94.53,93.84,94.24,14600,94.24
2014-06-03,94.64,95.16,94.64,95.00,24000,95.00
2014-06-02,94.77,94.77,93.86,94.44,18300,94.44
2014-05-30,95.15,95.41,95.01,95.15,23300,95.15
2014-05-29,94.62,94.90,94.40,94.89,32600,94.89
2014-05-28,94.40,94.50,93.58,93.93,36300,93.93
2014-05-27,94.45,94.82,94.34,94.57,54500,94.57
2014-05-23,92.69,93.04,92.58,92.69,23400,92.69
2014-05-22,91.92,92.35,91.73,92.07,19200,92.07
2014-05-21,91.11,91.88,91.11,91.82,19100,91.82
2014-05-20,91.42,91.42,90.31,90.89,45000,90.89
2014-05-19,90.18,90.74,90.11,90.57,18100,90.57
2014-05-16,89.46,89.59,88.94,89.40,14900,89.40
2014-05-15,91.17,91.17,89.79,90.63,14000,90.63
2014-05-14,91.57,91.92,91.25,91.25,24100,91.25
2014-05-13,90.88,91.26,90.86,90.98,23700,90.98
2014-05-12,89.75,90.20,89.70,90.14,28000,90.14
2014-05-09,89.27,89.27,88.26,89.10,50600,89.10
2014-05-08,89.94,90.37,89.50,89.67,14000,89.67
2014-05-07,90.34,90.76,89.79,90.60,16300,90.60
2014-05-06,90.42,90.84,90.06,90.30,18800,90.30
2014-05-05,90.67,91.68,90.20,91.46,17500,91.46
2014-05-02,92.09,92.77,91.66,91.94,19400,91.94
2014-05-01,92.44,92.95,92.44,92.69,16800,92.69
2014-04-30,92.20,92.76,92.20,92.76,29900,92.76
2014-04-29,93.44,94.05,93.44,93.76,21300,93.76
