Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,25.42,25.52,25.27,25.27,28206500,25.27
2014-12-30,25.61,25.7,25.42,25.57,22184500,25.57
2014-12-29,25.7,25.85,25.68,25.7,20858200,25.7
2014-12-26,25.84,25.9,25.74,25.78,14978500,25.78
2014-12-24,25.89,25.94,25.7,25.83,17865100,25.83
2014-12-23,25.69,26,25.6,25.88,31399700,25.88
2014-12-22,25.65,25.77,25.56,25.71,35238100,25.71
2014-12-19,25.12,25.7,25,25.62,86713700,25.62
2014-12-18,25.13,25.15,24.68,25.14,52044700,25.14
2014-12-17,24.61,24.72,24.06,24.66,77589300,24.43
2014-12-16,24.54,25.18,24.4,24.49,48388000,24.26
2014-12-15,25.02,25.03,24.41,24.59,63574000,24.36
2014-12-12,25.35,25.37,24.86,24.89,51044500,24.66
2014-12-11,25.32,25.69,25.31,25.41,40900400,25.17
2014-12-10,25.62,25.63,25.15,25.27,45310200,25.03
2014-12-09,25.46,25.69,25.27,25.58,32509200,25.34
2014-12-08,25.88,26.09,25.61,25.69,37627900,25.45
2014-12-05,26.14,26.15,25.93,26.01,22389200,25.77
2014-12-04,26.26,26.28,25.92,26.09,29587100,25.85
2014-12-03,26.16,26.47,26.09,26.38,34360900,26.13
2014-12-02,26.07,26.2,26.03,26.05,25190100,25.81
2014-12-01,26.16,26.22,25.85,26.02,48967100,25.78
2014-11-28,26.8,26.9,26.44,26.49,31185200,26.24
2014-11-26,26.89,26.97,26.78,26.87,19289700,26.62
2014-11-25,27.01,27.03,26.84,26.86,28028000,26.61
2014-11-24,27.01,27.09,26.81,27,24001300,26.75
2014-11-21,27.09,27.1,26.86,26.99,36181100,26.74
2014-11-20,26.8,26.97,26.75,26.85,21195200,26.6
2014-11-19,26.99,27,26.77,26.92,33734700,26.67
2014-11-18,26.7,27.05,26.69,27.01,36774100,26.76
2014-11-17,26.47,26.68,26.42,26.61,24612700,26.36
2014-11-14,26.43,26.51,26.38,26.46,16943900,26.21
2014-11-13,26.47,26.67,26.37,26.42,25420600,26.17
2014-11-12,26.27,26.6,26.27,26.52,28103600,26.27
2014-11-11,26.47,26.5,26.24,26.38,18964100,26.13
2014-11-10,26.41,26.53,26.38,26.47,16277800,26.22
2014-11-07,26.29,26.51,26.21,26.41,26390800,26.16
2014-11-06,25.89,26.39,25.87,26.36,40218800,26.11
2014-11-05,25.9,25.9,25.67,25.82,31585700,25.58
2014-11-04,25.73,25.8,25.59,25.7,22553900,25.46
2014-11-03,25.49,25.84,25.48,25.7,35107000,25.46
2014-10-31,25.86,25.93,25.67,25.81,39951500,25.57
2014-10-30,25.42,25.72,25.32,25.67,26169300,25.43
2014-10-29,25.88,25.9,25.39,25.66,28829700,25.42
2014-10-28,25.58,25.88,25.56,25.88,28531100,25.64
2014-10-27,25.66,25.7,25.38,25.52,19784500,25.28
2014-10-24,25.44,25.65,25.41,25.64,20563900,25.4
2014-10-23,25.42,25.69,25.4,25.44,30960500,25.2
2014-10-22,25.34,25.48,25.15,25.19,30028700,24.96
2014-10-21,25.27,25.53,25.13,25.45,31684600,25.21
2014-10-20,24.91,25.12,24.71,25.03,33868500,24.8
2014-10-17,25,25.25,24.7,24.82,52637800,24.59
2014-10-16,23.99,24.51,23.96,24.25,51697900,24.02
2014-10-15,23.86,24.4,23.69,24.28,65636600,24.05
2014-10-14,24.18,24.64,24.05,24.1,42246400,23.88
2014-10-13,24.24,24.33,23.9,23.95,39054800,23.73
2014-10-10,24.79,24.87,24.21,24.27,47837300,24.04
2014-10-09,25.23,25.31,24.73,24.78,34012700,24.55
2014-10-08,24.95,25.25,24.66,25.25,36918100,25.01
2014-10-07,25.1,25.19,24.8,24.81,31985200,24.58
2014-10-06,25.6,25.63,25.07,25.22,30492600,24.98
2014-10-03,25.29,25.43,25.15,25.4,21658100,25.16
2014-10-02,25.19,25.25,25.01,25.12,28499100,24.89
2014-10-01,25.43,25.47,25.08,25.16,42081200,24.93
2014-09-30,25.36,25.7,25.33,25.62,40800800,25.38
2014-09-29,25.36,25.52,25.3,25.42,30747600,25.18
2014-09-26,25.58,25.7,25.43,25.63,28931900,25.39
2014-09-25,25.88,25.88,25.53,25.55,30686900,25.31
