Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,113.22,113.25,111.70,112.00,143300,108.01
2014-12-30,114.23,114.31,113.20,113.29,99500,109.25
2014-12-29,114.38,115.45,114.07,114.31,322700,110.24
2014-12-26,115.76,115.98,115.45,115.45,48600,111.34
2014-12-24,116.00,116.00,114.81,115.74,32400,111.62
2014-12-23,115.36,115.50,114.80,114.82,109100,110.73
2014-12-22,114.86,114.96,114.26,114.74,100400,110.65
2014-12-19,113.90,114.70,113.08,113.28,424900,109.24
2014-12-18,114.54,115.41,114.27,115.30,209900,111.19
2014-12-17,112.66,114.64,112.63,113.60,106200,109.55
2014-12-16,110.58,114.20,110.52,112.60,143300,108.59
2014-12-15,113.97,114.22,110.40,110.84,106400,106.89
2014-12-12,115.05,115.57,113.09,113.20,59400,109.17
2014-12-11,115.90,116.36,115.15,115.20,66500,111.10
2014-12-10,116.02,116.18,114.74,114.84,207500,110.75
2014-12-09,114.17,115.44,114.04,115.44,104300,111.33
2014-12-08,115.65,116.03,115.31,115.78,120400,111.66
2014-12-05,115.43,116.20,115.16,115.89,96200,111.76
2014-12-04,114.90,115.65,113.90,115.06,194200,110.96
2014-12-03,115.63,115.84,115.25,115.72,197700,111.60
2014-12-02,116.83,117.00,116.05,116.26,97700,112.12
2014-12-01,117.93,118.10,117.41,117.82,95300,113.62
2014-11-28,118.30,118.80,117.63,118.00,46200,113.80
2014-11-26,119.28,120.26,119.28,120.26,165200,115.98
2014-11-25,118.47,119.29,118.26,119.15,277400,114.91
2014-11-24,117.40,117.87,116.99,117.46,167700,113.28
2014-11-21,116.67,116.80,115.77,116.16,111200,112.02
2014-11-20,113.51,114.30,113.41,114.13,92800,110.06
2014-11-19,114.36,115.00,113.60,114.58,231000,110.50
2014-11-18,113.24,114.46,113.13,114.40,191400,110.32
2014-11-17,110.38,111.00,110.22,110.81,80200,106.86
2014-11-14,109.57,110.90,109.44,110.83,87700,106.88
2014-11-13,109.52,110.59,109.39,109.79,111400,105.88
2014-11-12,109.54,110.75,109.32,109.65,113500,105.74
2014-11-11,110.48,111.35,110.14,111.10,104800,107.14
2014-11-10,109.94,110.24,109.55,109.93,129800,106.01
2014-11-07,109.40,109.90,108.15,109.55,261900,105.65
