Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,34.49,34.53,34.07,34.17,4162100,34.17
2014-12-30,34.35,34.60,34.27,34.39,3887100,34.39
2014-12-29,34.53,34.87,34.51,34.67,3788900,34.67
2014-12-26,34.73,34.97,34.69,34.85,2521500,34.85
2014-12-24,34.74,34.84,34.64,34.65,1434000,34.65
2014-12-23,34.92,35.00,34.66,34.70,5253900,34.70
2014-12-22,35.29,35.29,34.95,35.05,4857200,35.05
2014-12-19,35.06,35.37,34.96,35.09,7506800,35.09
2014-12-18,34.92,35.34,34.82,35.34,6712500,35.34
2014-12-17,34.18,34.60,34.11,34.43,7062300,34.43
2014-12-16,33.65,34.60,33.53,33.95,7239500,33.95
2014-12-15,33.85,33.99,33.09,33.30,6124800,33.30
2014-12-12,34.16,34.42,33.54,33.56,8656600,33.56
2014-12-11,34.79,35.20,34.71,34.86,4871300,34.86
2014-12-10,35.16,35.16,34.60,34.64,5849700,34.64
2014-12-09,35.15,35.25,34.93,35.08,4915300,35.08
2014-12-08,35.89,36.04,35.65,35.80,4986000,35.80
2014-12-05,36.01,36.03,35.73,35.79,6656400,35.79
2014-12-04,35.26,35.38,35.03,35.12,3965700,35.12
2014-12-03,35.83,35.84,35.38,35.49,8165600,35.49
2014-12-02,36.00,36.08,35.74,35.76,5323900,35.76
2014-12-01,35.66,35.77,35.45,35.64,6041300,35.64
2014-11-28,36.50,37.00,36.30,36.55,10193600,36.55
2014-11-26,35.74,35.75,35.48,35.65,4362400,35.65
2014-11-25,35.32,35.33,35.13,35.30,3625600,35.30
2014-11-24,35.37,35.42,35.15,35.34,4310800,35.34
2014-11-21,35.81,35.85,35.35,35.67,4135300,35.67
2014-11-20,35.28,35.68,35.25,35.40,4393600,35.40
2014-11-19,35.77,35.85,35.42,35.69,4817700,35.13
2014-11-18,35.65,35.74,35.42,35.55,3919600,34.99
2014-11-17,35.60,35.98,35.45,35.96,5524100,35.39
2014-11-14,35.13,35.46,35.07,35.41,10403700,34.85
2014-11-13,35.25,35.52,35.18,35.35,4665600,34.79
2014-11-12,34.85,35.40,34.73,35.34,9333100,34.78
2014-11-11,34.91,35.06,34.46,34.80,31136800,34.25
2014-11-10,32.81,33.07,32.69,33.02,4113600,32.50
2014-11-07,32.91,33.08,32.67,33.07,3327000,32.55
2014-11-06,33.17,33.25,32.79,32.90,2948200,32.38
2014-11-05,33.20,33.33,33.01,33.22,7228600,32.70
2014-11-04,32.85,32.91,32.45,32.73,5183800,32.21
