Intel,AMD,Qualcomm,MicronTech,Infenion,STMElectro,Texas,Toyota,VW,Ford,Nissan,Honda,PSA,Daimler,Tata,Fuji,Boing,UnitTech,LockMartin,Honeywell,GenDyn,BAE,Northrop,Raytheon,RollsRoyce,Textron,Embraer,Apple,Micrsoft,Nokia,Sony,LG,Lenovo,BlackBerry,Alcatel,Vodafone,JandJ,GE,Medtronic,Fresenius,Koninklijke (Philips),Cardinal,Novartis,Stryker,Becton,BostonScience,Allergan,St Jude,3M,Abbott,Zimmer,SmithAndNephew,Olympus,Bayer,Bard,Varian,DENTSPLY,Hologic,Danaher,Intuitive,ABB Robo,Adept,Bosch,CaterPill,Denso,Google,Unversal Electro
26.59,27.54,46.54,13.46,9.26,18.51,33.82,97.35,10.9,8.21,20.65,28.35,60,50.74,13.4,53.8,71.45,57.15,63.45,37.7,111.78,26.75,59.34,39.85,36.35,77.81,41.57,72.68,27.08,18.46,36.98,20.41,9.6,65.1,12.94,22.22,60.15,35.94,56.56,33.87,31.63,67.54,52.47,47.36,58.6,25.45,108.6,51.03,77.37,39.78,69.75,47.88,25.6,41.28,67.41,52.08,56.09,37.99,58,118.54,9.26,14.25,2990,59.05,134.15,419.11,17.51
26.58,28.36,45.6,13.62,9.38,18.7,33.54,98.35,10.7,8.21,20.64,28.48,59.9,50.4,13.5,54.2,71.05,58.18,64.09,38.07,115,27.9,59.75,39.99,36.65,77.42,42.95,72.14,26.88,18.54,36.83,20.58,9.6,65.16,13,21.93,60.33,36.03,57,33.95,31.86,67.55,52.32,47.39,59.58,25.74,109.8,51.8,77.94,39.4,70.65,48.02,25.65,41.34,67.1,51.99,55.57,37.68,57.24,115.5,9.22,13.92,2950,59,134.5,425.34,17.58
26.37,27.81,45.42,13.64,9.41,18.58,32.82,98.75,10.7,8.3,20.39,28.67,58.6,51.02,13.79,54.3,70.75,57.78,63,37.85,114.28,27.5,59,39.48,36.5,76.88,39.42,71.11,26.82,18.63,37.2,20.47,9.45,63.18,12.89,21.52,61.55,36,57.75,34.51,31.82,68.94,52.58,47.65,59.2,25.52,109,51.74,76.9,41,71.4,47.92,26.55,41.23,67.48,51.2,55.16,38.12,55.99,115.87,9.23,14.28,2946,58.65,137.6,432.2,17.72
25.8,27.92,43.75,13.59,9.3,18.13,32.1,99,10.65,8.16,20.25,28.82,57.8,50.86,13.98,54.2,70.2,57.22,62.6,38.05,113.6,28.75,58.65,39.12,36.1,76.2,39.65,71.63,26.76,18.5,37.38,20.43,9.55,63.95,12.82,21.5,60.92,35.67,58.45,34.61,31.52,67.75,52.08,46.3,59.43,25.6,108.1,51.06,77.32,40.27,70.85,47.36,26.15,41.16,67.3,50.05,55.29,37.21,55.65,115.2,9.25,12.16,2955,57,138.05,427.86,17.25
25.85,29.24,44.21,13.88,9.25,18.24,32.03,100.5,10.45,8.05,20.31,29.24,58.1,50,13.9,55.25,70.97,57.6,62.76,38.6,114.2,28.65,59,39.49,36.9,77.95,40.18,72.6,26.87,18.37,37.28,20.41,9.8,62.59,12.64,21.59,60.98,35.66,58.51,33.97,31.47,68.7,51.77,45.62,59.61,25.26,107.6,50.7,77.63,40.02,67.56,46.68,26.4,41.6,67.45,50.33,55.32,37.67,55.75,116.99,9.26,11.45,2960,57.1,139.75,433.55,17.48
25.89,29.49,44.24,13.57,9.23,18.27,31.92,102.88,10.45,8.04,20.15,29.29,57.65,50.5,13.85,54.85,70.95,57.55,63.04,37.69,113.45,28.15,59.37,39.79,37.15,77.27,40.43,73.91,26.71,18.43,38.98,20.69,9.4,65.01,12.72,21.58,60.96,35.17,57.73,34,31.43,67.86,51.97,46.43,60.04,25.48,108.01,50.43,78.48,40.45,69.7,46.73,26.15,41.77,68.1,51.04,55.28,39.25,55.55,120.43,9.27,12,3123,57.4,140.25,431.77,17.46
26,30.01,44.77,13.55,9.21,18.24,32.8,102.78,10.4,7.93,20.38,29.42,58.05,50.43,13.91,54.8,71.95,57.9,63.5,36.71,115.2,28.65,59.48,39.94,37.3,78.03,39.05,74.17,26.52,18.61,38.99,20.43,9.4,68,12.7,21.41,61.3,35.56,57.95,34.37,31.46,68.9,51.58,46.58,60.65,25.46,110,50.3,77.89,40.28,69.84,46.25,26.1,42.36,67.85,51.65,55.34,40.01,55.58,124.1,9.34,11.55,3150,58.46,140.5,432.15,17.74
26.03,30.77,44.27,13.65,9.23,18.24,33.1,101.68,10.55,7.91,20.4,29.03,58.2,50.75,14.3,54.5,71.9,57.5,63.63,38.17,114.94,28.7,59.5,40.14,37.35,77.65,39.59,74,26.68,18.68,39.31,21.35,9.4,67.49,12.77,21.32,61.12,35.57,58,34.72,31.66,69.09,52,46.24,60.75,25.78,109.7,51,78.64,41,69.05,46.55,26.15,42.65,67.51,51.87,55.04,39.46,55.74,121.7,9.46,12,3149.9,58.52,139.75,431.86,17.65
25.52,31.25,43.72,13.46,9.26,18.28,32.38,102.48,10.55,7.89,20.38,29.18,58.1,51.52,14.19,54.8,70.86,56.75,63.57,37.6,114.6,28.85,59.68,40.17,37.1,77.15,39.24,74.47,26.51,18.6,40.4,21,9.15,67.12,12.73,21.67,60.3,35.06,57.95,34.77,31.66,68.15,52.53,45.35,60.6,25.07,108.4,50.6,77.59,40.6,68.31,46.64,26.6,42.73,66.85,51.05,54.32,39.11,55.55,121,9.68,11.52,3160,58.05,141.4,424.34,17.39
25.41,31.61,43.79,13.32,9.19,18.08,32.67,103.49,10.7,7.81,20.22,29.11,58.75,51.7,14.3,54.4,71.2,56.8,63.75,37.55,114.75,29.45,59.78,39.97,37.75,77.58,39.25,73.78,26.41,18.49,41.08,21.01,9.16,67.15,12.57,21.71,60.53,35.11,58.33,35.25,31.5,69.25,52.65,45.42,60.53,24.75,109,50.7,78.35,40.3,68.6,46.3,27.15,42.4,66.7,50.9,54.5,38.06,55.5,119.41,9.76,11.12,3220,57.9,142,427.98,17.58
25.01,30.4,43.23,13.2,9.13,17.9,32.25,104,10.45,7.75,20.14,28.7,57.4,50.85,14.3,54,71.05,56.05,63.27,37.41,113.9,29.3,59.7,39.85,37.45,77.35,39.4,70.91,26.15,18.25,40.72,21.53,9.16,67.15,12.38,21.44,60.1,35.12,57.79,35.07,30.87,68.91,52.39,44.35,60.33,24.35,108.74,50.7,78.11,39.47,67.93,46.25,26.1,41.68,66.2,50.55,54,38.26,55.98,118,9.68,12,3250,57.85,139.15,417.27,17.14
25.19,31.02,43.25,13.48,9.3,18.3,32.16,105.8,11.1,7.72,20.6,29.14,61.35,52.53,14.39,55.1,70.4,56.45,63.3,37.22,114.95,29.75,59.25,40.02,38.35,77.02,38.4,72.38,26.25,18.62,41.25,21.5,9.2,66.6,12.77,22.04,61.07,35.1,57.87,35.7,32.02,68.76,52.94,44.9,59.99,24.56,112.89,50.15,77.76,39.55,67.64,47,26.4,43.23,65.92,50.24,53.61,38,56.09,118.89,10.09,12.68,3277.7,57.87,140,422.52,17.43
25.6,32.5,44,13.75,9.54,18.75,33.37,105.7,11,7.83,20.71,29.45,61.4,53.03,14.62,56,70.08,56.8,63.64,37.5,115,29.5,59.7,39.91,39.45,77.96,39.9,75.13,26.77,18.94,40.92,21.5,9.2,66.55,13.12,22.47,61.93,35.35,58.45,36.26,32.45,69.72,53.94,44.58,60.45,24.6,109.3,50.7,79.49,39.38,68.48,48.36,26.3,44.03,65.58,49.87,53.98,36.7,56.36,116.23,10.35,12.82,3150,57.95,144.7,443.9,17.51
25.93,32.51,45.23,14.02,9.88,18.92,33.71,105.79,10.85,8.05,20.68,29.7,60.7,53.56,14.69,55.1,70.55,56.3,64.25,37.26,115.1,30.25,60,39.9,39.2,77.5,39.9,74.83,26.96,19.33,42,20.9,9.09,68.68,13.46,22.43,62.57,35.27,58.39,36.49,32.3,70,54.3,45.3,61.35,25.4,110.3,50.5,78.41,39.7,69.13,48.31,26.45,44.01,66.86,49.7,54.31,38.33,56.53,123.98,10.61,12.75,3070,59.02,144.35,446,17.92
26.48,33.9,45.55,14.41,10.22,19.68,34.5,106.2,11,8.3,21.42,29.86,60.1,53.43,14.61,55.8,70.34,56.45,64.4,37.5,114.6,29.9,60,40.2,39.5,77.5,40.75,75.25,26.89,19.94,42.2,20.5,8.95,70.13,13.99,23.01,62.36,35.38,57.95,36.35,33,70.03,54.63,45.05,61,26.17,109.5,51.56,78.64,40.06,68.65,48.67,29.3,43.84,66.7,49,54.23,37.63,56.79,117.73,10.71,12.57,2992.55,59.47,146.4,456.87,18.1
26.39,33.75,46.94,14.45,9.98,19.63,34.5,107.68,11,8.65,21.9,30,60.75,54.39,14.68,55.9,69.28,56.37,65.45,37.87,116.1,30.2,60.51,39.94,38.75,77.15,41.83,76.73,26.93,19.59,42.29,21.47,9,72.25,13.96,23.19,62.52,35.4,58.9,36.16,33.1,69.04,54.39,45.23,62,26.21,110.32,53.62,78.5,42.5,68.28,48.72,29.3,43.63,67.1,49,54.7,38.67,56.9,120.28,10.88,13.47,2939.95,60.45,145.6,466.41,18.13
26.29,33.24,47.16,14.5,9.9,19.56,33.93,104.75,11.1,8.68,22.05,28.62,61.3,54.57,14.5,54.2,68.8,56.44,65.15,37.23,115.5,29.4,60.95,40.23,38.2,77.6,41.3,76.25,26.65,19.08,41.99,21.01,8.75,71.49,13.59,22.9,62.52,35.27,58.6,35.73,32.66,71.05,53.25,46.99,61.8,25.88,111,54.2,79,42.4,70.4,48.4,27.85,42.96,67.45,49.55,55,39.18,56.66,123,10.73,12.5,2948,61.35,142.7,464.42,17.72
26.13,35.05,47.55,14.69,9.95,19.81,33.82,106,11.46,8.81,22.01,29.22,60,55.1,14.48,54.65,69.97,56.7,65.94,37.7,115.76,30.1,61.16,40.52,38.15,77.75,41.28,83.84,27.01,19.11,43.4,21.2,8.95,71.91,13.68,23.12,62.96,35.14,58.8,36,32.78,70.7,53.77,47.36,62.3,26,113.85,54.26,78.44,41.57,70.6,47.97,28.05,43.03,67.91,50.42,56.08,40.31,56.02,128.93,11.1,12.44,2900,60.87,142.25,471.27,18.5
26.05,36.38,48.6,14.8,9.96,19.69,33.8,106.45,11.35,8.86,22.44,28.96,58.45,55.1,14.45,55.1,70.25,55.75,65.96,37.44,115.25,29.85,62.82,40.8,37.5,77,40.49,84.97,27.25,18.8,45.7,20.8,8.85,71.14,13.63,22.6,62.5,35.45,58.59,35.56,32.18,70.1,54.08,47.14,60.9,25.41,114.2,54.02,78.2,41.24,71.91,48.08,27.7,42.9,66.71,52.52,55.84,40.86,55.19,132.12,11.12,11.5,2844,61.23,140.75,473.72,18.25
25.96,34.19,48.92,14.66,9.83,19.39,33.29,104.47,11.45,8.56,22.12,28.58,59.65,54.21,14.6,53.9,69.64,55.55,65.25,37,116,31.05,60.75,40.46,38.2,77.24,41.12,84.99,27.03,18.66,44.51,20.2,9.15,70.18,13.22,22.44,61.9,34.9,58.18,35.4,31.51,69.8,54.56,46.56,61.1,25,115.77,53.37,76.95,41.48,70.51,48.25,27.25,42.74,66.98,52,56.26,40.94,54.68,131.49,10.99,11.72,2827,62.02,138.5,464.31,18.23
25.59,32.46,47.42,14.15,9.69,19.06,32.65,102,11.3,8.55,21.7,27.6,58.45,53.65,14.54,53,69.07,55.85,65.25,37.16,117,31.05,60.63,40.56,37.4,77.95,40.82,85.7,26.9,18.58,42.55,20.85,8.85,69.07,13.23,21.96,61.31,35.63,58.34,35.25,31.07,69,55.85,46.22,61.18,24,114.92,53.85,77.1,40.82,70.6,47.71,26.05,42.27,65.25,53,56.2,41.65,54.65,127.6,10.87,12,2869,61.69,134,463.06,18
22.87,32.6,47.42,13.73,9.53,18.56,31.6,100.05,11,8.31,21.25,27.3,57.5,52.81,14.13,51.3,68.55,56.15,65.73,36.87,115.45,30.55,60.69,40.31,37.65,77.25,39.1,83.08,26.74,18.31,42.19,20.66,8.95,66.79,13.18,21.84,61.75,34.9,58.95,34.96,31.16,68.46,56.05,46.77,60.6,23.89,114.69,53.87,77,41.07,70.5,47.8,26,42.04,65,53.08,56,40.46,54.9,129.84,10.58,11.33,2875,62.36,133.45,447.3,17.71
22.8,38.14,48.22,14.21,9.66,18.94,32.6,102.6,11.25,8.2,21.29,27.37,58.5,52.44,14.31,52.9,68.16,55.65,65.25,37.08,116.06,30.3,60.5,40.33,37.2,77.15,39.93,81.25,26.87,18.48,42.69,20.72,9.35,68.64,13.11,21.36,62.3,34.9,59.6,34.71,31.5,69.12,54.76,47.5,60.81,24.05,114.55,54.15,77.19,41.05,72.15,47.4,26,41.74,65.2,54.48,56.1,41.24,55.56,129.85,10.83,11.4,2870,62.05,134.25,451.17,17.95
22.44,36.6,48.52,14.34,9.59,18.94,32.25,104.26,10.95,8.3,21.45,27.9,57.2,52.6,14.8,51.65,68.1,55.98,65.49,37.2,116.04,29.8,60.47,40.42,37.8,77.3,41.14,79.28,27.01,18.44,43.6,20.8,9.4,69.25,13.03,21.24,61.24,34.3,59.54,35.89,31.08,68.32,55.46,46.4,60.23,23.9,113.4,53.75,76.91,41.6,70.49,47.94,25.45,41.86,65,55.79,56.24,42.07,55.53,133.01,10.92,11.94,2860.05,62.51,135,438.7,18
21.92,35.85,47.16,14.04,9.46,19.13,31.99,103.28,11.1,8.3,21.62,27.8,57.65,52.09,14.51,50.35,65.9,55.01,65.35,35.94,115.5,30.35,60.45,40.3,38.05,76.7,39.5,76.1,26.41,18.31,43.45,20.95,9.38,67.04,13,21.35,60.75,33.53,58.85,35.77,31.78,68.4,56,45.24,59.18,23.59,112.54,52.99,75.5,40.5,69.3,47.73,25.55,41.82,64.1,54,55.4,42.39,54.4,129.14,10.75,11.73,2805,60.75,134.5,407.38,17.64
21.53,35.61,47.25,14.18,9.62,19.04,31.51,103.41,11.2,8.4,21.62,27.75,58.05,54.71,14.79,51.25,67.41,55.76,65.65,35.24,115.05,30.5,61.14,40.4,37.95,76.1,40.75,78.76,26.34,18.26,43.7,21.15,8.95,64.25,12.86,21.13,60.19,33.55,58.95,35.01,32.3,69.23,56.33,44.72,59.01,23.45,112.95,53.01,74.01,40.54,68.75,47.95,26.6,42,64.5,52.4,54.76,47,54.38,130.34,10.52,11.25,2850,60.79,137.5,436.03,18.1
21.4,37.2,48.22,14.13,9.49,18.95,30.69,101.8,11.4,8.42,21.53,27.42,59.35,55.68,15.02,50.55,67.71,56.45,65.7,36.54,115.75,30.5,62.06,40.8,38.25,76.68,40.65,77.39,26.41,18.42,43.36,21.79,9.05,65.85,13.06,21.27,61,33.15,58.8,35.84,32.21,69.96,56.16,44.35,59.46,23.89,113.4,52,73.25,41.26,67.6,48.15,25.6,41.85,65.4,54.67,54.48,48.4,54.6,138.28,10.64,11.23,2988,61.5,135.1,451.26,18.1
21.4,38.82,46.74,14.23,9.69,18.98,30.1,102.97,12,8.6,22.19,27.81,59.75,56.72,15.35,51.45,67.44,57.47,66.99,36.5,116.05,30.75,63.88,41,38.65,79.5,40.09,74.53,26.56,18,47.5,21.75,8.75,65.44,13.27,21.5,58.75,32.93,57.36,35.7,33.4,70.78,55.55,44.65,62.5,23.55,114.29,49.99,73.22,42.75,68.6,49.05,25.45,40.86,63.95,55.5,53.91,48.07,55.3,133.9,10.9,10.85,2967.9,63.3,136,439.54,18.1
21.75,40.64,47.56,14.4,9.57,18.98,30.2,102.69,11.75,8.68,22.5,28.11,59.44,57.15,15.74,52.15,68.39,58.24,66.91,37.23,119.37,30.55,62.5,41.58,39.35,81,40.45,72.95,27.23,18.28,50.5,22.5,8.2,66.36,13.31,21.55,58.95,32.95,58.1,35.55,33.7,75.5,55.57,47.33,63.15,22,113.35,49.15,72.45,43.8,68,49.5,26.25,42.36,63.64,57.96,53.72,50.62,55.7,133.76,11.01,11.52,2975,65.9,141.75,435,17.87
21.83,39.62,48.09,14.67,9.53,18.65,30.55,102.4,11.8,8.66,22.47,28.11,59,56.95,15.79,52.65,68.52,58.54,66.33,37.81,117.5,30.45,61.55,41.32,38.9,81.55,39,71.17,27.82,18.08,49.89,22.62,8.25,67.27,13.29,21.3,58.71,32.9,57,35.42,33.62,73.14,54.73,50.33,64,21.69,114.57,50.15,72.9,42.45,70.55,50.75,26.55,41.44,63.4,59.9,54.89,52,55.77,136.56,10.91,11.56,2895,66.53,140.75,429.23,18.02
