Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,29.64,29.80,29.48,29.52,981300,29.52
2014-12-30,29.60,29.64,29.40,29.60,1368500,29.60
2014-12-29,29.97,30.11,29.86,30.04,1080700,30.04
2014-12-26,30.30,30.40,30.23,30.33,674600,30.33
2014-12-24,30.47,30.52,30.35,30.37,311000,30.37
2014-12-23,30.27,30.43,30.23,30.23,985900,30.23
2014-12-22,30.09,30.25,30.02,30.20,816300,30.20
2014-12-19,30.22,30.42,30.13,30.33,1296800,30.33
2014-12-18,30.01,30.16,29.93,30.14,2180600,30.14
2014-12-17,29.23,29.96,29.23,29.81,2369300,29.81
2014-12-16,28.97,29.35,28.83,28.87,3047800,28.87
2014-12-15,29.40,29.46,28.88,28.93,1320800,28.93
2014-12-12,29.75,30.00,29.32,29.34,1086700,29.34
2014-12-11,30.25,30.40,30.01,30.06,2071700,30.06
2014-12-10,30.44,30.45,30.09,30.14,2317700,30.14
2014-12-09,30.70,31.02,30.57,31.01,1525300,31.01
2014-12-08,30.81,30.82,30.51,30.54,1757100,30.54
2014-12-05,30.92,31.20,30.85,31.14,1582600,31.14
2014-12-04,31.12,31.25,31.00,31.21,1420100,31.21
2014-12-03,30.86,31.05,30.72,30.98,1786200,30.98
2014-12-02,30.71,30.94,30.66,30.76,2424300,30.76
2014-12-01,30.39,30.59,30.27,30.51,1479300,30.51
2014-11-28,30.44,30.56,30.25,30.32,2003000,30.32
2014-11-26,31.01,31.03,30.89,30.97,1182200,30.97
2014-11-25,31.66,31.90,31.66,31.79,848300,31.79
2014-11-24,31.83,31.84,31.66,31.68,775500,31.68
2014-11-21,31.46,31.85,31.46,31.74,1111200,31.74
2014-11-20,31.06,31.20,30.97,31.16,2861200,31.16
2014-11-19,31.01,31.27,30.95,31.13,1732300,31.13
2014-11-18,31.56,31.69,31.48,31.65,423400,31.65
2014-11-17,31.53,31.60,31.42,31.51,1126300,31.51
2014-11-14,31.92,32.02,31.81,31.99,506600,31.99
2014-11-13,31.13,31.55,31.13,31.53,1092500,31.53
2014-11-12,31.11,31.28,31.03,31.19,688900,31.19
2014-11-11,30.84,31.11,30.78,31.01,2505800,31.01
2014-11-10,31.63,31.67,31.33,31.55,759700,31.55
2014-11-07,31.51,31.63,31.45,31.62,1077800,31.62
2014-11-06,31.62,31.71,31.44,31.66,470000,31.66
2014-11-05,31.75,31.81,31.62,31.69,633400,31.69
2014-11-04,31.17,31.17,30.79,31.02,1051200,31.02
2014-11-03,32.11,32.43,32.01,32.40,1100700,32.40
