Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,10.77,10.78,10.65,10.65,64800,10.65
2014-12-30,10.70,10.76,10.67,10.76,196100,10.76
2014-12-29,10.70,10.72,10.64,10.68,70300,10.68
2014-12-26,10.65,10.74,10.62,10.70,64100,10.70
2014-12-24,10.58,10.70,10.58,10.70,51300,10.70
2014-12-23,10.65,10.69,10.61,10.65,78800,10.65
2014-12-22,10.59,10.67,10.57,10.67,61500,10.67
2014-12-19,10.53,10.61,10.51,10.58,60000,10.58
2014-12-18,10.56,10.60,10.50,10.58,103800,10.58
2014-12-17,10.39,10.55,10.38,10.46,148800,10.46
2014-12-16,10.18,10.42,10.18,10.28,98400,10.28
2014-12-15,10.51,10.56,10.21,10.31,97200,10.31
2014-12-12,10.53,10.56,10.36,10.36,49700,10.36
2014-12-11,10.54,10.59,10.45,10.47,45700,10.47
2014-12-10,10.59,10.61,10.48,10.49,75600,10.49
2014-12-09,10.56,10.56,10.36,10.48,295700,10.48
2014-12-08,10.54,10.57,10.47,10.52,125800,10.52
2014-12-05,10.40,10.57,10.35,10.54,1790200,10.54
2014-12-04,10.35,10.56,10.35,10.51,2016400,10.51
2014-12-03,10.05,10.14,10.05,10.13,946500,10.13
2014-12-02,9.86,9.88,9.80,9.88,1507100,9.88
2014-12-01,9.92,9.92,9.80,9.89,497400,9.89
2014-11-28,9.80,9.86,9.77,9.82,289500,9.82
2014-11-26,10.05,10.13,10.05,10.10,10200,10.10
2014-11-25,10.05,10.09,10.03,10.08,17700,10.08
2014-11-24,10.08,10.13,10.05,10.11,20200,10.11
2014-11-21,10.11,10.11,10.04,10.06,26700,10.06
2014-11-20,9.88,9.99,9.88,9.99,19600,9.99
2014-11-19,9.91,9.93,9.84,9.87,24900,9.87
2014-11-18,9.64,9.78,9.63,9.73,19100,9.73
2014-11-17,9.50,9.55,9.50,9.55,15000,9.55
2014-11-14,9.43,9.56,9.43,9.50,14200,9.50
2014-11-13,9.51,9.56,9.43,9.52,28500,9.52
2014-11-12,9.49,9.50,9.46,9.50,14300,9.50
2014-11-11,9.49,9.61,9.48,9.61,31400,9.61
2014-11-10,9.52,9.59,9.48,9.58,45500,9.58
2014-11-07,9.49,9.50,9.39,9.46,11200,9.46
