Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,137.05,137.48,135.45,136.84,22100,136.84
2014-12-30,137.99,138.04,136.79,136.85,20200,136.85
2014-12-29,139.74,140.35,139.29,139.38,38500,139.38
2014-12-26,140.49,141.20,140.41,140.41,32500,140.41
2014-12-24,139.70,141.00,139.64,140.73,25100,140.73
2014-12-23,141.39,141.52,139.29,139.63,56400,139.63
2014-12-22,141.45,141.71,140.68,141.45,39100,141.45
2014-12-19,138.78,140.24,138.28,139.34,48800,139.34
2014-12-18,140.20,141.89,140.15,141.89,825700,141.89
2014-12-17,138.49,141.29,138.49,140.24,40500,140.24
2014-12-16,135.80,140.40,135.79,138.48,102600,138.48
2014-12-15,140.76,140.88,135.91,136.00,44200,136.00
2014-12-12,143.06,143.36,139.33,139.40,49200,139.40
2014-12-11,143.03,144.76,142.54,142.54,28000,142.54
2014-12-10,144.35,144.49,142.66,143.29,63300,143.29
2014-12-09,143.25,143.50,142.05,142.97,60300,142.97
2014-12-08,146.98,147.20,146.16,146.50,70700,146.50
2014-12-05,147.14,149.17,146.65,148.62,48900,148.62
2014-12-04,145.75,146.66,144.89,145.79,52100,145.79
2014-12-03,147.00,147.15,146.44,147.15,56800,147.15
2014-12-02,147.38,149.75,146.84,149.65,53100,149.65
2014-12-01,150.31,150.60,149.80,150.31,26900,150.31
2014-11-28,150.18,150.63,150.00,150.07,26400,150.07
2014-11-26,146.32,147.50,146.32,147.33,49800,147.33
2014-11-25,147.04,147.41,146.25,146.94,49100,146.94
2014-11-24,145.91,147.72,145.47,147.68,110900,147.68
2014-11-21,145.70,146.36,145.15,145.67,54900,145.67
2014-11-20,141.69,143.26,141.50,143.13,28900,143.13
2014-11-19,143.07,143.58,142.33,142.80,20300,142.80
2014-11-18,140.92,142.55,140.68,142.42,34300,142.42
2014-11-17,137.00,138.47,136.66,138.30,15800,138.30
2014-11-14,136.84,137.70,136.42,137.30,18700,137.30
2014-11-13,137.04,138.35,136.90,138.20,47800,138.20
2014-11-12,137.03,137.60,136.37,136.85,25000,136.85
2014-11-11,139.19,139.81,138.45,139.80,47900,139.80
2014-11-10,139.30,139.75,137.96,139.45,28700,139.45
2014-11-07,139.17,139.35,138.20,139.19,18800,139.19
2014-11-06,142.11,142.59,140.96,142.15,43100,142.15
2014-11-05,142.02,142.32,141.34,141.90,29900,141.90
2014-11-04,141.13,141.54,140.00,140.69,67900,140.69
2014-11-03,140.57,140.85,139.66,140.85,39400,140.85
2014-10-31,141.70,142.23,141.18,142.03,63800,142.03
2014-10-30,137.71,139.23,137.21,139.12,34000,139.12
2014-10-29,137.11,137.63,135.05,135.15,52000,135.15
2014-10-28,136.36,137.50,136.01,137.28,43900,137.28
2014-10-27,133.60,134.86,133.38,134.00,21600,134.00
2014-10-24,134.56,134.79,133.84,134.26,31500,134.26
2014-10-23,133.56,135.68,133.40,135.00,31300,135.00
2014-10-22,133.13,133.35,132.38,132.80,77600,132.80
2014-10-21,131.74,133.36,131.73,133.25,134300,133.25
2014-10-20,130.54,132.01,130.54,131.88,26600,131.88
2014-10-17,131.04,134.35,130.77,133.60,50000,133.60
2014-10-16,125.57,131.20,125.43,130.33,164900,130.33
2014-10-15,128.23,128.29,125.02,127.60,80100,127.60
2014-10-14,129.91,130.49,129.40,129.56,74900,129.56
2014-10-13,131.23,131.51,129.13,129.13,35200,129.13
2014-10-10,130.80,131.43,129.21,129.36,65400,129.36
2014-10-09,134.27,134.72,131.75,131.87,93200,131.87
2014-10-08,133.72,135.71,132.80,135.50,40700,135.50
2014-10-07,134.85,134.99,132.64,132.72,33600,132.72
2014-10-06,137.15,137.36,135.52,136.38,181100,136.38
2014-10-03,136.14,136.56,135.50,136.56,33600,136.56
2014-10-02,138.44,138.44,136.17,137.00,73500,137.00
2014-10-01,139.98,140.43,138.80,139.33,68700,139.33
2014-09-30,139.70,140.45,139.19,140.11,20500,140.11
2014-09-29,138.21,138.75,138.07,138.60,30400,138.60
2014-09-26,140.72,140.83,139.54,140.54,19500,140.54
2014-09-25,142.96,143.26,140.00,140.25,36500,140.25
2014-09-24,143.01,144.06,142.46,143.96,38500,143.96
2014-09-23,144.08,145.07,142.53,142.63,36500,142.63
2014-09-22,146.41,146.62,144.38,144.61,77700,144.61
2014-09-19,144.81,145.87,143.85,144.48,80700,144.48
2014-09-18,144.84,145.77,144.59,145.30,73400,145.30
2014-09-17,138.07,138.25,136.97,137.17,35800,137.17
2014-09-16,136.87,138.33,136.75,138.20,32300,138.20
2014-09-15,137.77,138.29,137.67,138.27,93800,138.27
2014-09-12,137.82,137.94,137.03,137.28,25800,137.28
2014-09-11,137.31,138.14,137.31,137.93,34100,137.93
2014-09-10,136.39,137.04,136.00,136.96,42800,136.96
2014-09-09,135.95,136.50,135.75,136.17,17900,136.17
2014-09-08,136.62,136.75,135.61,135.90,23200,135.90
2014-09-05,137.15,137.45,136.73,137.41,19700,137.41
2014-09-04,136.69,137.04,135.98,136.59,45700,136.59
2014-09-03,137.25,137.48,136.65,136.85,42900,136.85
2014-09-02,134.86,135.02,134.30,134.77,23000,134.77
2014-08-29,134.40,134.77,133.41,134.30,101600,134.30
2014-08-28,132.82,133.48,132.50,133.04,202400,133.04
2014-08-27,135.15,135.15,134.02,134.27,48200,134.27
2014-08-26,135.00,136.00,134.84,135.57,25600,135.57
2014-08-25,132.35,133.95,132.29,133.82,39900,133.82
2014-08-22,131.47,131.77,130.10,131.55,31400,131.55
2014-08-21,131.85,133.17,131.77,132.98,96500,132.98
2014-08-20,130.78,131.80,130.50,131.60,49200,131.60
2014-08-19,132.68,132.75,132.31,132.74,26500,132.74
2014-08-18,130.10,132.59,129.81,132.50,81600,132.50
2014-08-15,131.72,131.80,127.23,128.60,65100,128.60
2014-08-14,131.36,131.39,130.72,131.05,34800,131.05
2014-08-13,129.05,130.64,128.75,130.47,324000,130.47
2014-08-12,128.30,128.40,127.54,128.10,108700,128.10
2014-08-11,129.97,130.30,129.63,129.84,313000,129.84
2014-08-08,128.05,128.91,127.24,128.91,61700,128.91
2014-08-07,130.27,130.27,127.21,127.76,16500,127.76
2014-08-06,128.26,129.34,128.26,129.25,25500,129.25
2014-08-05,129.96,130.21,127.97,128.23,35000,128.23
2014-08-04,128.35,128.36,126.81,127.85,59100,127.85
2014-08-01,129.07,130.10,128.11,128.74,41500,128.74
2014-07-31,133.49,133.49,131.67,131.68,22800,131.68
2014-07-30,136.89,136.90,134.95,135.66,34700,135.66
2014-07-29,133.31,134.10,132.93,133.26,80600,133.26
2014-07-28,134.05,134.42,132.67,133.90,51500,133.90
2014-07-25,134.56,134.69,132.35,132.83,13900,132.83
2014-07-24,135.79,136.15,134.82,135.76,24200,135.76
2014-07-23,135.98,135.98,135.20,135.42,28400,135.42
2014-07-22,134.56,134.71,133.87,134.31,21000,134.31
2014-07-21,134.75,134.75,134.20,134.48,42000,134.48
2014-07-18,135.99,136.82,135.98,136.79,14000,136.79
2014-07-17,136.36,137.51,135.17,135.25,36400,135.25
2014-07-16,138.50,138.50,137.64,137.80,24400,137.80
2014-07-15,138.37,138.69,136.66,137.33,45200,137.33
2014-07-14,138.49,139.05,138.44,138.76,21300,138.76
2014-07-11,137.25,137.80,136.88,137.70,22400,137.70
2014-07-10,137.74,138.07,137.28,137.79,22500,137.79
2014-07-09,140.00,141.10,139.86,141.09,24600,141.09
2014-07-08,140.84,141.04,139.65,140.02,14500,140.02
2014-07-07,141.52,142.04,141.09,141.25,15600,141.25
2014-07-03,144.39,144.76,144.11,144.75,24200,144.75
2014-07-02,142.64,142.93,141.90,142.78,14200,142.78
2014-07-01,143.43,144.44,143.32,144.39,49700,144.39
2014-06-30,140.91,141.86,140.91,141.27,37800,141.27
2014-06-27,139.98,140.18,139.52,140.15,22100,140.15
2014-06-26,141.50,141.63,139.72,140.62,53400,140.62
2014-06-25,142.01,142.66,141.86,142.66,30000,142.66
2014-06-24,142.13,142.44,141.65,141.65,45000,141.65
2014-06-23,140.99,140.99,140.36,140.70,17300,140.70
2014-06-20,141.50,141.65,141.00,141.38,14600,141.38
2014-06-19,141.02,141.09,140.63,140.72,28100,140.72
2014-06-18,139.62,140.57,139.41,140.51,24500,140.51
2014-06-17,139.29,140.26,139.28,140.15,27800,140.15
2014-06-16,140.07,140.51,139.67,139.96,41300,139.96
2014-06-13,140.00,140.60,139.80,140.45,36600,140.45
2014-06-12,141.22,141.60,140.80,140.97,696500,140.97
2014-06-11,142.50,142.51,141.78,142.00,795700,142.00
2014-06-10,143.16,144.08,143.16,144.01,449100,144.01
2014-06-09,142.11,142.93,142.10,142.35,16600,142.35
2014-06-06,144.90,144.90,143.38,143.51,42900,143.51
2014-06-05,143.10,143.74,142.30,143.32,19100,143.32
2014-06-04,143.21,144.00,143.21,143.57,13700,143.57
2014-06-03,144.40,144.46,143.01,143.75,30000,143.75
2014-06-02,144.80,145.20,144.35,144.81,120300,144.81
2014-05-30,144.00,144.93,143.81,144.47,25000,144.47
2014-05-29,143.38,143.73,142.92,143.56,26400,143.56
2014-05-28,143.15,143.19,142.14,142.14,31800,142.14
2014-05-27,143.83,144.63,143.63,144.00,27800,144.00
2014-05-23,140.31,141.06,140.07,140.95,35500,140.95
2014-05-22,140.44,140.75,140.13,140.73,15700,140.73
2014-05-21,140.42,141.57,140.42,141.57,19200,141.57
2014-05-20,141.08,141.08,140.14,140.62,22200,140.62
2014-05-19,141.18,141.90,140.61,141.55,17600,141.55
2014-05-16,141.65,142.00,140.51,141.76,23900,141.76
2014-05-15,141.55,142.01,140.56,141.80,43900,141.80
2014-05-14,141.93,142.09,141.20,141.20,39100,141.20
2014-05-13,141.66,141.66,140.56,141.05,23600,141.05
2014-05-12,141.35,141.51,140.46,141.50,161500,141.50
2014-05-09,138.26,138.59,137.86,138.39,13800,138.39
2014-05-08,138.42,139.78,138.42,138.94,17300,138.94
2014-05-07,137.57,138.82,137.47,138.39,28600,138.39
2014-05-06,137.83,138.38,137.82,137.88,14500,137.88
2014-05-05,137.84,139.53,137.43,138.94,16200,138.94
2014-05-02,138.16,139.21,138.16,139.16,10500,139.16
2014-05-01,139.22,139.66,138.78,139.66,30500,139.66
2014-04-30,138.71,139.24,138.33,139.22,20600,139.22
2014-04-29,135.96,137.70,135.86,137.52,24000,137.52
2014-04-28,135.18,136.15,133.43,134.55,20300,134.55
2014-04-25,134.04,134.04,129.44,130.07,27100,130.07
2014-04-24,133.88,134.16,132.10,134.00,19900,131.11
2014-04-23,134.80,135.00,133.85,134.24,20700,131.35
2014-04-22,134.00,134.60,133.79,134.55,98900,131.65
2014-04-21,130.21,130.44,129.95,130.38,13600,127.57
2014-04-17,129.61,130.35,129.24,130.10,14400,127.30
2014-04-16,128.10,128.88,127.32,128.54,77500,125.77
2014-04-15,128.47,129.01,124.36,126.84,57300,124.11
2014-04-14,129.72,129.75,128.76,129.46,17000,126.67
2014-04-11,128.14,129.62,128.00,128.39,22800,125.63
2014-04-10,132.75,132.85,129.64,130.00,20600,127.20
2014-04-09,131.63,133.04,131.40,132.66,50800,129.80
2014-04-08,131.95,132.68,131.51,132.51,170500,129.66
2014-04-07,133.04,133.04,131.66,132.53,19100,129.68
2014-04-04,135.12,135.63,134.31,134.49,14400,131.59
2014-04-03,135.81,136.25,134.87,135.11,79100,132.20
2014-04-02,134.10,134.42,133.85,134.34,31100,131.45
2014-04-01,135.06,135.46,134.45,134.85,18700,131.95
2014-03-31,136.96,137.34,135.15,135.26,26400,132.35
2014-03-28,135.56,136.60,135.56,136.50,22100,133.56
2014-03-27,133.46,133.99,133.15,133.71,22500,130.83
2014-03-26,134.86,135.20,133.85,134.30,26500,131.41
2014-03-25,133.55,134.95,133.29,134.50,77900,131.60
2014-03-24,133.24,133.24,130.44,132.15,51400,129.30
2014-03-21,134.25,135.20,133.99,135.02,42000,132.11
2014-03-20,130.56,133.00,130.56,132.53,13500,129.68
2014-03-19,133.16,134.00,130.93,131.90,31900,129.06
2014-03-18,133.09,134.64,132.67,132.94,22400,130.08
2014-03-17,133.00,133.40,132.64,133.08,15500,130.21
2014-03-14,129.96,133.05,129.96,132.15,23700,129.30
2014-03-13,133.30,133.39,128.00,128.30,171000,125.54
2014-03-12,132.20,133.61,131.79,132.87,16200,130.01
2014-03-11,133.74,134.03,132.45,132.54,105000,129.69
2014-03-10,135.00,135.13,133.29,134.15,23300,131.26
2014-03-07,137.00,137.05,134.15,135.06,72300,132.15
2014-03-06,138.27,138.43,137.80,137.80,47700,134.83
2014-03-05,137.76,138.09,137.09,137.20,46600,134.25
2014-03-04,139.19,139.75,138.44,138.75,44500,135.76
2014-03-03,136.54,136.64,134.25,135.00,62100,132.09
2014-02-28,139.47,142.00,139.38,141.22,46400,138.18
2014-02-27,135.96,137.42,135.62,137.23,22100,134.28
2014-02-26,138.24,138.24,136.66,137.55,31500,134.59
2014-02-25,139.27,139.91,138.40,138.84,23900,135.85
2014-02-24,139.26,140.65,139.26,140.56,83800,137.53
2014-02-21,139.01,139.60,138.71,139.18,12600,136.18
2014-02-20,138.07,139.09,137.65,139.09,28000,136.10
2014-02-19,139.43,140.51,138.73,138.87,30200,135.88
2014-02-18,139.65,139.87,138.83,139.64,25900,136.63
2014-02-14,137.61,138.59,137.61,138.45,38500,135.47
2014-02-13,135.15,137.70,135.15,137.67,20600,134.71
2014-02-12,134.96,135.82,134.85,135.34,51600,132.43
2014-02-11,133.77,135.86,133.48,135.73,55000,132.81
2014-02-10,130.59,130.92,130.29,130.49,39800,127.68
2014-02-07,129.94,130.95,129.40,130.95,20900,128.13
2014-02-06,128.62,129.69,128.41,129.45,28000,126.66
2014-02-05,128.54,129.02,128.13,128.78,23200,126.01
2014-02-04,130.49,130.67,129.70,129.99,47900,127.19
2014-02-03,132.65,132.74,130.37,130.57,56900,127.76
2014-01-31,131.07,132.49,130.81,132.00,37800,129.16
2014-01-30,134.63,134.79,133.08,134.05,14900,131.16
2014-01-29,132.49,134.21,132.25,133.25,15700,130.38
2014-01-28,134.00,134.82,133.83,134.70,122100,131.80
2014-01-27,135.00,135.00,133.38,134.06,122800,131.17
2014-01-24,138.53,138.53,134.89,134.92,44500,132.02
2014-01-23,140.40,141.24,140.02,141.15,36600,138.11
