Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,35.48,35.49,35.15,35.17,12100,35.17
2014-12-30,35.63,35.63,35.23,35.32,18800,35.32
2014-12-29,36.04,36.16,35.97,36.16,29200,36.16
2014-12-26,36.81,36.90,36.79,36.81,32100,36.81
2014-12-24,36.63,36.75,36.63,36.65,6100,36.65
2014-12-23,36.82,36.93,36.74,36.76,17800,36.76
2014-12-22,36.63,36.75,36.63,36.69,67400,36.69
2014-12-19,36.91,37.00,36.85,36.87,20100,36.87
2014-12-18,37.29,37.95,37.29,37.95,23100,37.95
2014-12-17,36.68,37.25,36.68,37.09,15100,37.09
2014-12-16,35.70,36.07,35.61,35.61,25500,35.61
2014-12-15,35.89,35.90,35.16,35.27,25400,35.27
2014-12-12,36.84,36.95,36.48,36.51,26300,36.51
2014-12-11,36.46,36.51,36.01,36.01,17300,36.01
2014-12-10,36.65,36.65,36.24,36.24,15700,36.24
2014-12-09,36.59,36.69,36.40,36.69,31100,36.69
2014-12-08,37.00,37.00,36.45,36.45,61400,36.45
2014-12-05,37.78,37.78,37.52,37.58,37900,37.58
2014-12-04,37.70,37.93,37.65,37.74,205700,37.74
2014-12-03,38.43,38.49,38.32,38.38,44000,38.38
2014-12-02,38.24,38.29,38.13,38.16,21100,38.16
2014-12-01,37.35,37.35,37.13,37.34,22100,37.34
2014-11-28,36.45,36.45,36.30,36.30,3000,36.30
2014-11-26,35.09,35.15,35.09,35.10,26600,35.10
2014-11-25,35.42,35.42,35.08,35.18,67400,35.18
2014-11-24,35.88,35.88,35.80,35.82,29200,35.82
2014-11-21,35.94,36.03,35.56,35.71,17000,35.71
2014-11-20,35.06,35.27,35.06,35.17,25700,35.17
2014-11-19,36.02,36.09,35.93,36.02,21400,36.02
2014-11-18,36.34,36.52,36.32,36.52,15600,36.52
2014-11-17,36.50,36.55,36.37,36.49,18700,36.49
2014-11-14,37.65,37.70,37.58,37.70,48200,37.70
2014-11-13,37.55,37.69,37.39,37.57,41800,37.57
2014-11-12,37.55,37.72,37.42,37.63,20100,37.63
2014-11-11,37.07,37.25,37.01,37.07,17500,37.07
2014-11-10,36.67,36.86,36.63,36.79,23700,36.79
2014-11-07,36.71,37.50,36.11,36.20,40000,36.20
2014-11-06,37.13,37.13,36.74,36.97,26800,36.97
2014-11-05,36.87,36.94,36.71,36.77,43300,36.77
2014-11-04,36.07,36.32,36.03,36.26,38800,36.26
2014-11-03,35.28,36.48,35.28,36.00,74600,36.00
2014-10-31,35.24,36.35,35.24,35.92,27300,35.92
2014-10-30,34.31,34.83,34.18,34.58,16800,34.58
2014-10-29,34.84,34.90,34.51,34.65,55500,34.65
2014-10-28,34.39,34.42,34.27,34.41,49600,34.41
2014-10-27,33.86,34.03,33.86,34.00,18300,34.00
2014-10-24,34.38,34.49,34.27,34.48,70400,34.48
2014-10-23,34.38,34.73,34.36,34.55,78300,34.55
2014-10-22,34.49,34.58,34.16,34.16,31500,34.16
2014-10-21,33.77,34.07,33.68,33.96,30000,33.96
2014-10-20,34.10,34.43,34.10,34.27,22700,34.27
2014-10-17,32.95,33.90,32.80,33.61,20700,33.61
2014-10-16,32.92,33.66,32.92,33.49,33900,33.49
2014-10-15,33.05,33.20,32.59,33.06,20400,33.06
2014-10-14,32.69,32.75,32.40,32.53,13100,32.53
2014-10-13,33.44,33.44,32.75,32.76,23100,32.76
2014-10-10,33.72,33.74,33.17,33.17,18500,33.17
2014-10-09,34.01,34.03,33.58,33.61,14800,33.61
2014-10-08,34.05,34.74,33.96,34.60,41100,34.60
2014-10-07,34.56,34.65,34.42,34.42,8100,34.42
2014-10-06,34.56,34.67,34.40,34.53,11600,34.53
2014-10-03,34.57,34.67,34.57,34.67,19300,34.67
2014-10-02,34.27,34.27,33.79,34.15,26300,34.15
2014-10-01,35.00,35.00,34.55,34.61,21700,34.61
2014-09-30,35.77,35.83,35.61,35.78,37300,35.78
2014-09-29,35.58,35.89,35.58,35.80,16300,35.80
2014-09-26,35.92,36.08,35.86,36.05,77400,36.05
2014-09-25,36.79,36.80,36.38,36.56,16500,36.56
2014-09-24,36.80,37.03,36.75,36.92,38300,36.92
2014-09-23,36.19,36.19,36.02,36.04,27700,36.04
2014-09-22,36.16,36.30,36.10,36.16,28200,36.16
2014-09-19,36.55,36.59,36.43,36.51,36000,36.51
2014-09-18,36.54,36.74,36.50,36.54,127700,36.54
2014-09-17,36.17,36.31,35.93,36.13,25300,36.13
2014-09-16,35.91,36.14,35.87,36.10,51500,36.10
2014-09-15,35.67,35.67,35.46,35.55,13500,35.55
