Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,12.32,12.32,12.18,12.18,19400,12.18
2014-12-30,12.31,12.34,12.31,12.33,1000,12.33
2014-12-29,12.40,12.44,12.40,12.44,1100,12.44
2014-12-26,12.59,12.60,12.54,12.54,1600,12.54
2014-12-24,12.56,12.56,12.56,12.56,000,12.56
2014-12-23,12.40,12.56,12.40,12.56,4500,12.56
2014-12-22,12.38,12.44,12.38,12.44,1200,12.44
2014-12-19,12.49,12.51,12.49,12.50,900,12.50
2014-12-18,12.47,12.69,12.47,12.69,2300,12.69
2014-12-17,12.24,12.24,12.03,12.03,101400,12.03
2014-12-16,12.07,12.22,12.03,12.03,2300,12.03
2014-12-15,12.10,12.10,11.78,11.78,8000,11.78
2014-12-12,12.37,12.37,12.24,12.24,2500,12.24
2014-12-11,12.43,12.47,12.32,12.32,2400,12.32
2014-12-10,12.89,12.89,12.65,12.65,2500,12.65
2014-12-09,12.95,12.95,12.68,12.68,2500,12.68
2014-12-08,13.27,13.27,13.27,13.27,100,13.27
2014-12-05,13.47,13.47,13.47,13.47,200,13.47
2014-12-04,12.78,12.78,12.78,12.78,000,12.78
2014-12-03,12.67,12.78,12.67,12.78,700,12.78
2014-12-02,12.64,12.64,12.64,12.64,300,12.64
2014-12-01,12.82,12.82,12.82,12.82,200,12.82
2014-11-28,12.79,12.79,12.77,12.77,500,12.77
2014-11-26,12.55,12.71,12.55,12.71,500,12.71
2014-11-25,12.55,12.65,12.42,12.65,1400,12.65
2014-11-24,12.38,12.39,12.22,12.29,6600,12.29
2014-11-21,11.80,12.01,11.80,12.01,24600,12.01
2014-11-20,11.53,11.53,11.53,11.53,9400,11.53
2014-11-19,11.61,11.61,11.48,11.48,19400,11.48
2014-11-18,11.50,11.54,11.43,11.45,86000,11.45
2014-11-17,11.08,11.28,11.08,11.18,25000,11.18
2014-11-14,11.13,11.24,11.13,11.22,79900,11.22
2014-11-13,11.10,11.16,11.05,11.09,31100,11.09
2014-11-12,10.89,11.01,10.89,10.97,500,10.97
2014-11-11,11.08,11.24,11.08,11.23,1000,11.23
2014-11-10,11.23,11.38,11.17,11.30,48000,11.30
2014-11-07,11.24,11.32,11.24,11.32,22500,11.32
2014-11-06,11.54,11.54,11.46,11.46,67000,11.46
2014-11-05,11.75,11.75,11.63,11.64,5500,11.64
2014-11-04,11.52,11.57,11.52,11.55,800,11.55
2014-11-03,11.78,11.78,11.57,11.71,5000,11.71
2014-10-31,11.86,11.86,11.86,11.86,800,11.86
2014-10-30,11.23,11.45,11.23,11.32,1700,11.32
2014-10-29,11.69,11.69,11.28,11.28,2700,11.28
2014-10-28,11.48,11.51,11.45,11.45,2400,11.45
2014-10-27,11.38,11.48,11.21,11.35,5700,11.35
2014-10-24,11.65,11.78,11.62,11.78,7600,11.78
2014-10-23,11.82,11.85,11.82,11.85,800,11.85
2014-10-22,12.01,12.02,11.82,11.82,6600,11.82
2014-10-21,11.89,11.94,11.81,11.81,8800,11.81
2014-10-20,11.72,11.73,11.68,11.73,3900,11.73
2014-10-17,11.89,11.89,11.62,11.81,4500,11.81
2014-10-16,10.91,11.04,10.91,11.04,5900,11.04
2014-10-15,11.28,11.39,10.90,10.94,8700,10.94
2014-10-14,11.49,11.63,11.46,11.46,2000,11.46
2014-10-13,11.37,11.37,11.11,11.30,12100,11.30
2014-10-10,11.52,11.54,11.34,11.35,6700,11.35
2014-10-09,12.20,12.20,11.91,11.91,1600,11.91
2014-10-08,12.41,12.67,12.40,12.67,9200,12.67
2014-10-07,12.74,12.74,12.74,12.74,400,12.74
2014-10-06,13.01,13.01,12.95,12.95,1700,12.95
2014-10-03,12.96,12.96,12.95,12.95,400,12.95
2014-10-02,12.62,12.77,12.52,12.52,11200,12.52
2014-10-01,12.72,12.72,12.68,12.69,500,12.69
2014-09-30,12.75,12.79,12.65,12.79,9500,12.79
2014-09-29,12.94,13.04,12.94,12.98,1500,12.98
2014-09-26,13.10,13.19,13.10,13.19,1000,13.19
2014-09-25,12.84,12.84,12.77,12.77,3000,12.77
2014-09-24,12.76,13.08,12.76,13.05,2400,13.05
2014-09-23,12.74,12.87,12.74,12.80,3500,12.80
2014-09-22,13.12,13.12,12.92,13.03,2700,13.03
2014-09-19,13.34,13.34,13.23,13.23,1600,13.23
2014-09-18,13.56,13.56,13.47,13.54,1200,13.54
2014-09-17,13.71,13.71,13.51,13.59,2700,13.59
2014-09-16,13.51,13.66,13.49,13.65,4400,13.65
2014-09-15,13.93,13.93,13.92,13.92,1100,13.92
2014-09-12,14.11,14.16,14.08,14.10,3900,14.10
2014-09-11,14.07,14.10,14.06,14.10,3100,14.10
2014-09-10,14.00,14.16,13.92,14.16,4300,14.16
