Date,Open,High,Low,Close,Volume,Adj Close
2014-12-31,43.78,43.84,43.06,43.06,91700,43.06
2014-12-30,43.97,44.10,43.53,43.68,83900,43.68
2014-12-29,44.21,44.47,44.11,44.12,75400,44.12
2014-12-26,44.35,44.54,44.31,44.34,12900,44.34
2014-12-24,44.06,44.50,44.05,44.39,23600,44.39
2014-12-23,44.35,44.35,44.06,44.20,36800,44.20
2014-12-22,44.72,44.81,44.18,44.31,71600,44.31
2014-12-19,44.44,45.07,44.42,44.70,55700,44.70
2014-12-18,44.60,44.88,44.29,44.77,47400,44.77
2014-12-17,43.70,44.45,43.63,44.14,192000,44.14
2014-12-16,43.16,44.21,43.14,43.64,88000,43.64
2014-12-15,44.15,44.31,42.37,42.53,88900,42.53
2014-12-12,44.82,45.02,44.13,44.16,80400,44.16
2014-12-11,44.91,45.43,44.81,44.81,177900,44.81
2014-12-10,45.22,45.28,44.29,44.46,116000,44.46
2014-12-09,44.84,45.32,44.79,45.05,124100,45.05
2014-12-08,45.20,45.30,44.83,44.92,152600,44.92
2014-12-05,45.30,45.66,45.13,45.59,160800,45.59
2014-12-04,44.79,44.91,44.45,44.55,98900,44.55
2014-12-03,44.79,44.79,44.56,44.64,103100,44.64
2014-12-02,45.25,45.25,44.79,44.94,81000,44.94
2014-12-01,45.22,45.73,45.20,45.53,80900,45.53
2014-11-28,45.34,45.38,45.10,45.23,16400,45.23
2014-11-26,44.92,45.23,44.80,45.17,156200,45.17
2014-11-25,45.03,45.26,44.96,45.21,112800,45.21
2014-11-24,44.35,44.54,44.30,44.50,121200,44.50
2014-11-21,43.49,43.70,43.33,43.53,99800,43.53
2014-11-20,43.02,43.54,42.93,43.49,49700,43.49
2014-11-19,43.60,43.65,43.05,43.52,86500,43.52
2014-11-18,43.39,43.63,43.28,43.57,73000,43.57
2014-11-17,41.86,42.24,41.73,42.18,55700,42.18
2014-11-14,41.91,42.21,41.82,42.01,70300,42.01
2014-11-13,41.66,41.99,41.56,41.74,90800,41.74
2014-11-12,41.86,41.97,41.70,41.88,44800,41.88
2014-11-11,42.32,42.56,42.08,42.46,46500,42.46
2014-11-10,42.63,42.83,42.40,42.57,144300,42.57
2014-11-07,42.45,42.52,42.26,42.33,77800,42.33
2014-11-06,43.32,43.85,42.82,42.87,107600,42.87
2014-11-05,43.03,43.29,42.87,43.15,57700,43.15
2014-11-04,42.54,42.66,42.34,42.55,140000,42.55
2014-11-03,42.63,42.87,42.45,42.74,58600,42.74
2014-10-31,42.50,42.92,42.45,42.59,109400,42.59
2014-10-30,41.30,42.05,41.27,41.98,73400,41.98
2014-10-29,41.85,41.87,41.01,41.14,80700,41.14
2014-10-28,41.15,41.46,41.14,41.46,51000,41.46
2014-10-27,40.58,40.88,40.07,40.74,65000,40.74
2014-10-24,41.22,41.22,40.77,41.08,84900,41.08
2014-10-23,41.05,41.41,40.93,41.27,91100,41.27
2014-10-22,41.08,41.08,40.47,40.48,34600,40.48
2014-10-21,40.82,41.00,40.64,40.87,70700,40.87
2014-10-20,39.98,40.44,39.85,40.39,58000,40.39
2014-10-17,40.92,41.50,40.74,41.14,86500,41.14
2014-10-16,38.90,39.67,38.83,39.45,63100,39.45
2014-10-15,38.53,38.92,38.08,38.77,91200,38.77
2014-10-14,39.42,39.52,39.02,39.24,141100,39.24
2014-10-13,38.92,39.04,38.50,38.61,56300,38.61
2014-10-10,38.34,38.53,37.85,37.85,90900,37.85
2014-10-09,40.11,40.11,38.83,38.91,71600,38.91
2014-10-08,39.45,40.03,39.14,40.03,56700,40.03
2014-10-07,39.65,39.84,39.37,39.47,61600,39.47
2014-10-06,39.82,39.88,39.10,39.45,65400,39.45
2014-10-03,39.62,39.68,39.40,39.45,102500,39.45
2014-10-02,40.31,40.36,39.54,39.82,238400,39.82
2014-10-01,40.68,40.68,39.95,40.15,136800,40.15
2014-09-30,41.16,41.47,40.89,41.28,73900,41.28
2014-09-29,41.77,41.87,41.48,41.65,79700,41.65
2014-09-26,42.25,42.34,41.94,42.25,30600,42.25
2014-09-25,42.55,42.55,41.82,42.14,190500,42.14
2014-09-24,43.30,43.30,42.94,43.13,131500,43.13
2014-09-23,43.63,43.78,43.30,43.35,116900,43.35
2014-09-22,44.54,44.54,44.07,44.24,57900,44.24
2014-09-19,45.04,45.15,44.48,44.55,160600,44.55
2014-09-18,44.92,45.04,44.67,44.88,175500,44.88
2014-09-17,45.37,45.37,44.56,44.56,217900,44.56
2014-09-16,44.90,45.50,44.85,45.44,81700,45.44
2014-09-15,44.92,45.08,44.92,44.95,31900,44.95
2014-09-12,45.15,45.25,44.80,45.05,103900,45.05
2014-09-11,45.04,45.26,45.01,45.19,90500,45.19
2014-09-10,45.04,45.25,44.84,45.15,61200,45.15
2014-09-09,45.29,45.55,45.20,45.42,47500,45.42
2014-09-08,46.15,46.25,45.75,46.02,70400,46.02
2014-09-05,46.30,46.53,46.17,46.53,49200,46.53
2014-09-04,45.75,46.09,45.29,45.83,182400,45.83
2014-09-03,45.89,45.90,45.44,45.45,91100,45.45
2014-09-02,45.25,45.25,44.72,44.99,56800,44.99
2014-08-29,44.83,44.98,44.56,44.97,65600,44.97
2014-08-28,45.03,45.36,44.85,45.36,113800,45.36
2014-08-27,45.97,45.97,45.69,45.86,47400,45.86
2014-08-26,45.88,46.12,45.82,45.82,44200,45.82
2014-08-25,45.88,45.99,45.61,45.70,59600,45.70
2014-08-22,45.74,45.81,45.40,45.54,51500,45.54
2014-08-21,45.94,45.98,45.58,45.92,49300,45.92
2014-08-20,45.33,45.52,45.28,45.35,59200,45.35
2014-08-19,45.52,45.69,45.43,45.57,97300,45.57
2014-08-18,44.88,45.05,44.77,44.96,61900,44.96
